,level_0,index,PSCID,Protein Name,Free form,Bound form,Ligands,Classification(?),motion_type,Free PDB,Free Chains,Bound PDB,Bound Chains
31,31,31,CD.32,UROPORPHYRINOGEN-III SYNTHASE,3d8r_A,3d8n_A,UP3,100002,coupled_domain_motion,3d8r,A,3d8n,A
32,32,32,CD.33,CHITIN OLIGOSACCHARIDE BINDING PROTEIN,1zty_A,1zu0_A,"CBS,MN",100002,coupled_domain_motion,1zty,A,1zu0,A
33,33,33,CD.34,LEU/ILE/VAL-BINDING PROTEIN,1z15_A,1z17_A,ILE,100002,coupled_domain_motion,1z15,A,1z17,A
34,34,34,CD.35,LACTOFERRIN,1l5t_A,1lct_A,FE,100002,coupled_domain_motion,1l5t,A,1lct,A
35,35,35,CD.36,"MALTOSE ABC TRANSPORTER, PERIPLASMIC MALTOSE- BINDING PROTEIN",2ghb_A,2gha_A,MLR,100002,coupled_domain_motion,2ghb,A,2gha,A
36,36,36,CD.37,ABC TYPE PERIPLASMIC SUGAR-BINDING PROTEIN,2uvg_A,2uvi_A,UNG,100002,coupled_domain_motion,2uvg,A,2uvi,A
37,37,37,CD.38,BIOTIN CARBOXYLASE,2c00_A,2vqd_A,"AP2,MG",100002,coupled_domain_motion,2c00,A,2vqd,A
38,38,38,CD.39,MALTOSE-BINDING PERIPLASMIC PROTEIN,1zkb_A,1jvy_A,MAL,100002,coupled_domain_motion,1zkb,A,1jvy,A
39,39,39,CD.40,GUANYLATE KINASE,1ex6_B,1gky_A,5GP,100002,coupled_domain_motion,1ex6,B,1gky,A
40,40,40,CD.41,"SUGAR ABC TRANSPORTER, PERIPLASMIC SUGAR-BINDING PROTEIN",3c6q_B,3c6q_D,XYP,100002,coupled_domain_motion,3c6q,B,3c6q,D
41,41,41,CD.42,TAGATOSE-6-PHOSPHATE KINASE,2q5r_AB,2jg1_BC,"2xANP,2xMG,TA6",100002,coupled_domain_motion,2q5r,AB,2jg1,BC
42,42,42,CD.43,ADENOSINE KINASE,1lio_A,1lii_A,"ACP,ADN",100002,coupled_domain_motion,1lio,A,1lii,A
44,44,44,CD.45,ALDOSE REDUCTASE,1xgd_A,1ef3_B,"FID,NAP",100002,coupled_domain_motion,1xgd,A,1ef3,B
45,45,45,CD.46,HYALURONATE LYASE,2brw_A,1ojp_A,"DGC,NG6",100002,coupled_domain_motion,2brw,A,1ojp,A
46,46,46,CD.47,DNA BETA-GLUCOSYLTRANSFERASE,1jej_A,1qkj_A,UDP,100002,coupled_domain_motion,1jej,A,1qkj,A
47,47,47,CD.48,L-RHAMNULOSE KINASE,2cgk_B,2uyt_A,"ADP,LRH",100002,coupled_domain_motion,2cgk,B,2uyt,A
48,48,48,CD.49,PHOSPHORIBOSYLAMINOIMIDAZOLE-SUCCINOCARBOXAMIDE SYNTHASE,1a48_A,2cnq_A,"2xADP,2xAMZ,2xSIN",100002,coupled_domain_motion,1a48,A,2cnq,A
49,49,49,CD.50,"SACCHAROPINE DEHYDROGENASE, NAD+, L-LYSINE- FORMING",2qrj_A,2qrl_A,OGA,100002,coupled_domain_motion,2qrj,A,2qrl,A
50,50,50,CD.51,"CAMP AND CAMP-INHIBITED CGMP 3',5'-CYCLIC PHOSPHODIESTERASE 10A",2ous_B,2ouu_A,"2x35G,MG",100002,coupled_domain_motion,2ous,B,2ouu,A
51,51,51,CD.52,HOMOSERINE KINASE,1fwl_AB,1h72_CC,"2xANP,2xHSE",100002,coupled_domain_motion,1fwl,AB,1h72,CC
52,52,52,CD.53,FARNESYL PYROPHOSPHATE SYNTHASE,1yhk_AA,1yhm_AB,"2xAHD,2xIPR,5xMG",100002,coupled_domain_motion,1yhk,AA,1yhm,AB
53,53,53,CD.54,FK506 BINDING PROTEIN,1eym_A,1j4r_A,1,100002,coupled_domain_motion,1eym,A,1j4r,A
54,54,54,CD.55,PHOSPHORIBOSYLGLYCINAMIDE FORMYLTRANSFERASE,1meo_A,1rby_A,"GAR,KEU",100002,coupled_domain_motion,1meo,A,1rby,A
55,55,55,CD.56,GLYOXYLATE REDUCTASE/HYDROXYPYRUVATE REDUCTASE,2q50_CD,2gcg_CD,"DGY,2xNDP",100002,coupled_domain_motion,2q50,CD,2gcg,CD
56,56,56,CD.57,TRICHODIENE SYNTHASE,1yj4_AB,1yyr_AB,"2xMG,POP,2xSAZ",100002,coupled_domain_motion,1yj4,AB,1yyr,AB
57,57,57,CD.58,HYALURONIDASE,2cbi_A,2j62_A,2xGSZ,100002,coupled_domain_motion,2cbi,A,2j62,A
58,58,58,CD.59,"5,10-METHENYLTETRAHYDROFOLATE SYNTHETASE",1sbq_B,1u3g_A,"ADP,MG,THF",100002,coupled_domain_motion,1sbq,B,1u3g,A
59,59,0,ID.1,TRANSLATION INITIATION FACTOR IF2/EIF5B,1g7r_A,1g7t_A,GNP,21200,independent_domain_motion,1g7r,A,1g7t,A
60,60,1,ID.2,LYSYL-TRNA SYNTHETASE,1bbw_AA,1bbu_AA,2xLYS,20102,independent_domain_motion,1bbw,AA,1bbu,AA
61,61,2,ID.3,HISTIDYL-TRNA SYNTHETASE,1h4v_BB,1ady_AB,2xHAM,13400,independent_domain_motion,1h4v,BB,1ady,AB
62,62,3,ID.4,PENICILLIN-BINDING PROTEIN 2,2olu_A,2olv_A,M0E,12000,independent_domain_motion,2olu,A,2olv,A
63,63,4,ID.5,TETRACYCLINE REPRESSOR PROTEIN,2ns7_AB,2ns8_CD,"PEPT(WTWNAYAFAAPS),PEPT(WTWNAYAFAAP)",12000,independent_domain_motion,2ns7,AB,2ns8,CD
64,64,5,ID.6,ANTHRANILATE PHOSPHORIBOSYLTRANSFERASE,1o17_BC,1zxy_AD,"4xMG,2xPRP",12000,independent_domain_motion,1o17,BC,1zxy,AD
65,66,7,ID.8,ACETYL TRANSFERASE,1z9u_AB,1s7n_AB,2xCOA,11101,independent_domain_motion,1z9u,AB,1s7n,AB
66,67,8,ID.9,235AA LONG HYPOTHETICAL BIOTIN--[ACETYL-COA-CARBOXYLASE] LIGASE,2hni_AB,2dth_AB,"2xADP,2xBTN",11101,independent_domain_motion,2hni,AB,2dth,AB
67,68,9,ID.10,UDP-N-ACETYLMURAMOYL-L-ALANINE:D-GLUTAMATE LIGASE,1e0d_A,1eeh_A,UMA,11100,independent_domain_motion,1e0d,A,1eeh,A
68,69,10,ID.11,SUCCINYLARGININE DIHYDROLASE,1ynf_CE,1ynh_AD,2xSUO,11010,independent_domain_motion,1ynf,CE,1ynh,AD
69,70,11,ID.12,2-C-METHYL-D-ERYTHRITOL 4-PHOSPHATE CYTIDYLYLTRANSFERASE,1vgt_AB,1i52_AA,2xCTP,11001,independent_domain_motion,1vgt,AB,1i52,AA
70,71,12,ID.13,RIBOSOMAL PROTEIN L11 METHYLTRANSFERASE,2nxc_A,2nxe_A,SAM,11000,independent_domain_motion,2nxc,A,2nxe,A
71,72,13,ID.14,"NICOTINAMIDE NUCLEOTIDE TRANSHYDROGENASE, SUBUNIT ALPHA 1",1l7d_CD,1l7e_AB,NAI,11000,independent_domain_motion,1l7d,CD,1l7e,AB
72,73,14,ID.15,REGULATOR OF NONSENSE TRANSCRIPTS 1,2gk7_A,2gk6_A,ADP,10702,independent_domain_motion,2gk7,A,2gk6,A
73,74,15,ID.16,MYOSIN II HEAVY CHAIN,1fmv_A,1w9j_A,ADP,10501,independent_domain_motion,1fmv,A,1w9j,A
74,75,16,ID.17,LIPOPOLYSACCHARIDE HEPTOSYLTRANSFERASE-1,2gt1_A,2h1f_B,ADP,10302,independent_domain_motion,2gt1,A,2h1f,B
75,77,18,ID.19,POLY(A) POLYMERASE,2o1p_A,2hhp_A,2xFLC,10202,independent_domain_motion,2o1p,A,2hhp,A
76,78,19,ID.20,INOSITOL-TRISPHOSPHATE 3-KINASE A,1w2f_A,1w2d_B,"4IP,ADP",10202,independent_domain_motion,1w2f,A,1w2d,B
77,79,20,ID.21,TRANSPORTIN-1,2qmr_D,2z5k_A,PEPT(PRVRYNPYTTRP),10201,independent_domain_motion,2qmr,D,2z5k,A
78,80,21,ID.22,GELSOLIN,2fh4_B,1p8x_C,3xCA,10111,independent_domain_motion,2fh4,B,1p8x,C
79,81,22,ID.23,TRANSCRIPTIONAL REPRESSOR SMTB,1smt_AB,1r22_AB,2xZN,10110,independent_domain_motion,1smt,AB,1r22,AB
80,82,23,ID.24,INTERFERON-INDUCIBLE GTPASE,1tqd_A,1tq6_A,"GNP,MG",10102,independent_domain_motion,1tqd,A,1tq6,A
81,83,24,ID.25,ADENOSINE KINASE,2pkf_BB,2pkn_AA,2xACP,10102,independent_domain_motion,2pkf,BB,2pkn,AA
82,84,25,ID.26,FERRIPYOVERDINE RECEPTOR,2o5p_B,2iah_A,PVD,10101,independent_domain_motion,2o5p,B,2iah,A
83,85,26,ID.27,MALTOSE-BINDING PROTEIN MONOBODY YS1 FUSION,3csg_A,3csb_A,"1PE,MN,PG4,PGE",10101,independent_domain_motion,3csg,A,3csb,A
84,86,27,ID.28,JUMONJI DOMAIN-CONTAINING PROTEIN 2A,2gf7_C,2gfa_B,2xPEPT(ARTKQTA),10101,independent_domain_motion,2gf7,C,2gfa,B
85,87,28,ID.29,DERMONECROTIC TOXIN,2ec5_A,2ebf_X,2xTRE,10101,independent_domain_motion,2ec5,A,2ebf,X
86,88,29,ID.30,PHENYLALANINE-4-HYDROXYLASE,1j8t_AA,1mmt_AA,"2xH4B,2xNLE",10020,independent_domain_motion,1j8t,AA,1mmt,AA
87,89,30,ID.31,CELL DIVISION PROTEIN FTSA,1e4f_T,1e4g_T,ATP,10010,independent_domain_motion,1e4f,T,1e4g,T
88,90,31,ID.32,HIGH-AFFINITY ZINC UPTAKE SYSTEM PROTEIN ZNUA,2ps3_A,2ps0_A,ZN,10010,independent_domain_motion,2ps3,A,2ps0,A
89,91,32,ID.33,"2,4-DIENOYL-COA REDUCTASE",1gu7_AB,1guf_AB,2xNDP,10004,independent_domain_motion,1gu7,AB,1guf,AB
90,92,33,ID.34,BETA NERVE GROWTH FACTOR,1bet_AA,1btg_BC,2xZN,10003,independent_domain_motion,1bet,AA,1btg,BC
91,93,34,ID.35,"RIBONUCLEASE, SEMINAL",1r5d_AB,1tq9_AB,2xCPA,10002,independent_domain_motion,1r5d,AB,1tq9,AB
92,95,36,ID.37,TRANSCRIPTIONAL REGULATOR MNTR,2hyg_DD,2f5f_AB,4xMN,10002,independent_domain_motion,2hyg,DD,2f5f,AB
93,96,37,ID.38,SIALIDASE,1eut_A,1w8n_A,"DAN,GAL",10002,independent_domain_motion,1eut,A,1w8n,A
94,97,38,ID.39,EOSINOPHIL CATIONIC PROTEIN,1qmt_A,1dyt_A,2xCIT,10002,independent_domain_motion,1qmt,A,1dyt,A
95,98,39,ID.40,URACIL-DNA GLYCOSYLASE,3eug_A,1flz_A,URA,10002,independent_domain_motion,3eug,A,1flz,A
96,99,40,ID.41,PUTATIVE SAM-DEPENDENT RNA METHYLTRANSFERASE,1wxx_CD,2cww_BB,2xSAH,10002,independent_domain_motion,1wxx,CD,2cww,BB
97,100,41,ID.42,ENDODEOXYRIBONUCLEASE I,1fzr_CD,1m0d_AB,2xMN,10002,independent_domain_motion,1fzr,CD,1m0d,AB
98,101,42,ID.43,CHITINASE B,1ogb_AB,1w1y_AB,7xTYP,10002,independent_domain_motion,1ogb,AB,1w1y,AB
99,102,43,ID.44,GLUCOSE 6-PHOSPHATE DEHYDROGENASE,1dpg_AB,2dpg_AA,2xNAP,10002,independent_domain_motion,1dpg,AB,2dpg,AA
100,103,44,ID.45,ADP-RIBOSYL CYCLASE,1r0s_AB,1r15_AB,"4xNCA,2xROB",10002,independent_domain_motion,1r0s,AB,1r15,AB
101,104,45,ID.46,GLUTAMYL-TRNA SYNTHETASE,2cfo_B,2cfo_A,GLU,10002,independent_domain_motion,2cfo,B,2cfo,A
102,105,46,ID.47,DIPEPTIDYL PEPTIDASE IV,2i78_CD,1u8e_AB,"11xNAG,5xNDG",10002,independent_domain_motion,2i78,CD,1u8e,AB
103,106,47,ID.48,FOLLISTATIN,1lr9_A,1lr8_A,IHS,10002,independent_domain_motion,1lr9,A,1lr8,A
104,107,48,ID.49,IMMUNOGLOBULIN LAMBDA DIMER MCG (LIGHT CHAIN),1dcl_AB,1mcs_AB,2xPEPT(QFHP),10001,independent_domain_motion,1dcl,AB,1mcs,AB
105,108,49,ID.50,GROWTH FACTOR RECEPTOR-BOUND PROTEIN 2,1jyu_A,1jyr_A,PEPT(APSYVNVQN),10001,independent_domain_motion,1jyu,A,1jyr,A
106,109,50,ID.51,CYANOVIRIN-N,3ezm_AA,1l5b_AB,NHE,10001,independent_domain_motion,3ezm,AA,1l5b,AB
107,110,51,ID.52,SECRETED EFFECTOR PROTEIN,2qza_A,2qyu_A,B3P,10001,independent_domain_motion,2qza,A,2qyu,A
108,111,52,ID.53,PHOSPHOGLYCERATE KINASE 1,3c3b_A,2zgv_A,ADP,10001,independent_domain_motion,3c3b,A,2zgv,A
109,112,53,ID.54,DNAD-LIKE REPLICATION PROTEIN,2zc2_A,2zc2_B,ZN,10001,independent_domain_motion,2zc2,A,2zc2,B
110,113,54,ID.55,SIGNAL RECOGNITION PARTICLE 43 KDA PROTEIN,3deo_A,3dep_A,PEPT(YPGGSFDPLGLA),10001,independent_domain_motion,3deo,A,3dep,A
111,114,55,ID.56,PECTATE LYASE,2v8i_A,2v8j_A,MN,10001,independent_domain_motion,2v8i,A,2v8j,A
112,115,56,ID.57,JAGGED-1,2vj2_A,2vj2_B,MLT,10001,independent_domain_motion,2vj2,A,2vj2,B
113,116,57,ID.58,HYPOTHETICAL PROTEIN,1rki_A,1rki_B,P6G,10001,independent_domain_motion,1rki,A,1rki,B
114,117,58,ID.59,CHITINASE A,3b8s_B,3b9d_A,4xNAG,10001,independent_domain_motion,3b8s,B,3b9d,A
115,118,59,ID.60,PSEUDECIN,2ddb_A,2epf_D,ZN,10001,independent_domain_motion,2ddb,A,2epf,D
116,119,60,ID.61,"ABC TRANSPORTER, ATP BINDING PROTEIN",1oxs_C,1oxu_C,ADP,10001,independent_domain_motion,1oxs,C,1oxu,C
117,120,61,ID.62,EXOPOLYPHOSPHATASE,2j4r_B,1t6c_A,CA,10001,independent_domain_motion,2j4r,B,1t6c,A
118,121,62,ID.63,REPLICASE POLYPROTEIN 1AB (PP1AB),1uk2_AB,2z3c_AA,"2xPEPT(VTL),2xECQ",10001,independent_domain_motion,1uk2,AB,2z3c,AA
119,122,63,ID.64,FLAGELLUM-SPECIFIC ATP SYNTHASE,2dpy_A,2dpy_B,ADP,10001,independent_domain_motion,2dpy,A,2dpy,B
120,123,64,ID.65,URE2 PROTEIN,1g6y_AB,1jzr_CD,GTT,10001,independent_domain_motion,1g6y,AB,1jzr,CD
121,124,65,ID.66,DATP PYROPHOSPHOHYDROLASE,2o1c_D,2o1c_A,PPV,10001,independent_domain_motion,2o1c,D,2o1c,A
122,125,66,ID.67,OUTER PROTEIN YOPM,1g9u_A,1jl5_A,2xCA,10001,independent_domain_motion,1g9u,A,1jl5,A
123,126,67,ID.68,DNA HELICASE UVSW,1rif_A,1rif_B,MG,10001,independent_domain_motion,1rif,A,1rif,B
124,127,68,ID.69,LETHAL(3)MALIGNANT BRAIN TUMOR-LIKE PROTEIN,2rjc_B,2rhu_A,PG4,10001,independent_domain_motion,2rjc,B,2rhu,A
125,128,69,ID.70,LECTIN-D2,1uln_A,1uha_A,CA,10001,independent_domain_motion,1uln,A,1uha,A
126,129,0,CL.1,CAPSID PROTEIN P40,1wpo_AB,1njt_AB,2xPEPT(VDNA),3000,coupled_local_motion,1wpo,AB,1njt,AB
127,130,1,CL.2,GTPASE/ATPASE,2qm8_AB,2qm7_AB,2xGDP,2400,coupled_local_motion,2qm8,AB,2qm7,AB
128,131,2,CL.3,PROTEIN-ARGININE DEIMINASE TYPE IV,1wd8_AA,1wd9_AA,8xCA,2300,coupled_local_motion,1wd8,AA,1wd9,AA
129,132,3,CL.4,INTERFERON-INDUCED GUANYLATE-BINDING PROTEIN 1,1dg3_A,1f5n_A,"GNP,MG",2200,coupled_local_motion,1dg3,A,1f5n,A
130,133,4,CL.5,ENOLASE,3enl_AA,2one_AB,"2PG,2xMG,PEP",2100,coupled_local_motion,3enl,AA,2one,AB
131,134,5,CL.6,PHOSPHORIBOSYLFORMYLGLYCINAMIDINE SYNTHASE II,1vk3_A,2hs4_A,"ACP,FGR,2xMG",2100,coupled_local_motion,1vk3,A,2hs4,A
132,135,6,CL.7,PYRUVATE DEHYDROGENASE E1 COMPONENT,2g67_AB,2g25_AB,"2xMG,2xTDK",2100,coupled_local_motion,2g67,AB,2g25,AB
133,136,7,CL.8,SPERMIDINE SYNTHASE,3bwb_AB,3bwc_AB,2xSAM,2100,coupled_local_motion,3bwb,AB,3bwc,AB
134,137,8,CL.9,"BETA-1,4-XYLOGLUCAN HYDROLASE",2cn2_C,2cn3_A,"5xBGC,CA,GLC,4xXYS",2001,coupled_local_motion,2cn2,C,2cn3,A
135,138,9,CL.10,PHOSPHOTYROSINE PROTEIN PHOSPHATASE PTPB,1ywf_A,2oz5_B,2x7XY,2000,coupled_local_motion,1ywf,A,2oz5,B
136,139,10,CL.11,ESTROGEN-RELATED RECEPTOR GAMMA,2gp7_CD,2gpu_AA,2xOHT,2000,coupled_local_motion,2gp7,CD,2gpu,AA
137,140,11,CL.12,CYCLOPROPANE-FATTY-ACYL-PHOSPHOLIPID SYNTHASE 1,1kp9_A,1kph_C,"10A,SAH",2000,coupled_local_motion,1kp9,A,1kph,C
138,141,12,CL.13,HEME-DEGRADING MONOOXYGENASE ISDI,1sqe_AB,2zdp_AB,2xCOH,2000,coupled_local_motion,1sqe,AB,2zdp,AB
139,142,13,CL.14,"PROTEIN-TYROSINE PHOSPHATASE, NON-RECEPTOR TYPE 1",1pa1_A,1t48_A,BB3,2000,coupled_local_motion,1pa1,A,1t48,A
140,143,14,CL.15,SIALIDASE 2,1so7_A,1vcu_B,DAN,2000,coupled_local_motion,1so7,A,1vcu,B
141,144,15,CL.16,DIBENZOTHIOPHENE DESULFURIZATION ENZYME B,2de2_A,2de3_B,OBP,2000,coupled_local_motion,2de2,A,2de3,B
142,145,16,CL.17,NAD-DEPENDENT FORMATE DEHYDROGENASE,2go1_AA,2nad_AB,2xNAD,2000,coupled_local_motion,2go1,AA,2nad,AB
143,146,17,CL.18,PYRROLYSYL-TRNA SYNTHETASE,2e3c_AA,2zim_AA,"2xPOP,2xYLY",2000,coupled_local_motion,2e3c,AA,2zim,AA
144,147,18,CL.19,HEME OXYGENASE 1,1irm_C,2dy5_A,"224,HEM",2000,coupled_local_motion,1irm,C,2dy5,A
145,148,19,CL.20,CYANOBACTERIAL PHYCOERYTHROBILIN,2vcl_A,2vck_B,BLA,2000,coupled_local_motion,2vcl,A,2vck,B
146,149,20,CL.21,PYRUVATE DEHYDROGENASE KINASE ISOENZYME 2,2btz_AA,2bu2_AA,"2xATP,2xTF1",2000,coupled_local_motion,2btz,AA,2bu2,AA
147,150,21,CL.22,ENDOGLYCOCERAMIDASE II,2osw_A,2osx_A,"16C,GAL,GLC,SIA",2000,coupled_local_motion,2osw,A,2osx,A
148,151,22,CL.23,ASPARAGINYL-TRNA SYNTHETASE,1x56_AA,1x55_AA,2xNSS,2000,coupled_local_motion,1x56,AA,1x55,AA
149,152,23,CL.24,PHOSPHO-2-DEHYDRO-3-DEOXYHEPTONATE ALDOLASE,1ofp_AB,1of6_EF,"2xDTY,2xMN",1600,coupled_local_motion,1ofp,AB,1of6,EF
150,153,24,CL.25,COPROPORPHYRINOGEN III OXIDASE,2qt8_AB,3dwr_AB,6x0PA,1301,coupled_local_motion,2qt8,AB,3dwr,AB
151,154,25,CL.26,RNA URIDYLYL TRANSFERASE,2q0d_B,2q0e_A,"GTP,MG",1300,coupled_local_motion,2q0d,B,2q0e,A
152,155,26,CL.27,PENICILLIN-BINDING PROTEIN 2X,1qme_A,1pyy_A,OSU,1300,coupled_local_motion,1qme,A,1pyy,A
153,156,27,CL.28,OROTIDINE 5'-PHOSPHATE DECARBOXYLASE,2zcg_AB,2za1_AB,2xOMP,1300,coupled_local_motion,2zcg,AB,2za1,AB
154,157,28,CL.29,FRUCTOSE-BISPHOSPHATE ALDOLASE II,1gyn_AA,1zen_AA,4xZN,1200,coupled_local_motion,1gyn,AA,1zen,AA
155,158,29,CL.30,SIGNAL PEPTIDASE I,1kn9_B,1b12_A,1PN,1200,coupled_local_motion,1kn9,B,1b12,A
156,159,30,CL.31,E3 UBIQUITIN-PROTEIN LIGASE NEDD4,3b7y_B,3b7y_A,2xCA,1200,coupled_local_motion,3b7y,B,3b7y,A
157,160,31,CL.32,MODULATOR OF DRUG ACTIVITY B,2amj_CD,2b3d_AB,2xFAD,1200,coupled_local_motion,2amj,CD,2b3d,AB
158,161,32,CL.33,PHOSPHOACETYLGLUCOSAMINE MUTASE,2dka_A,2dkc_B,"16G,ZN",1101,coupled_local_motion,2dka,A,2dkc,B
159,162,33,CL.34,TRICHOTHECENE 3-O-ACETYLTRANSFERASE,2rkt_A,2rkv_A,"COA,MPO,ZBA",1101,coupled_local_motion,2rkt,A,2rkv,A
160,163,34,CL.35,COMPLEMENT FACTOR D,1fdp_A,1bio_A,SOA,1100,coupled_local_motion,1fdp,A,1bio,A
161,164,35,CL.36,"N-ACETYLLACTOSAMINIDE ALPHA-1,3-GALACTOSYLTRANSFERASE",2vxm_A,2jcj_A,"MN,UDP",1100,coupled_local_motion,2vxm,A,2jcj,A
162,165,36,CL.37,PYRIDOXAL KINASE,1lhp_AB,1rft_AA,"2xACP,2xPXM",1100,coupled_local_motion,1lhp,AB,1rft,AA
163,166,37,CL.38,PYRIDOXINE 5'-PHOSPHATE OXIDASE,1xxo_AB,2aq6_AB,PLP,1100,coupled_local_motion,1xxo,AB,2aq6,AB
164,167,38,CL.39,MYOGLOBIN,1ufp_A,2eb8_A,CUP,1100,coupled_local_motion,1ufp,A,2eb8,A
165,168,39,CL.40,TELOMERIC REPEAT BINDING FACTOR 1,1h6o_AA,3bqo_AA,2xPEPT(SHFNLAPLGRRRV),1100,coupled_local_motion,1h6o,AA,3bqo,AA
166,169,40,CL.41,GANGLIOSIDE GM2 ACTIVATOR,1pu5_A,2ag4_B,"LP3,OLA",1100,coupled_local_motion,1pu5,A,2ag4,B
