"","Anthrenus verbasci ","Xylocopa appendiculata circumvolan ","Apis cerana japonica ","Chalicodoma sp1 M_PL_054","Anthidium septemspinosum ","Lasioglossum occidens","Oxycetonia jucunda ","Apis mellifera","Mordellistena sp1 M_PL_054","Tetralonia nipponens ","Sphaerophoria macrogaster ","Unidentified sp1 M_PL_054","Nonartha cyaneum ","Ceratina flavipes ","Eristalis cerealis ","Formica japonica ","Andrena protomias ","Aulacophora nigripennis ","Bombus ardens","Vespa xanthoptera ","Campsomeris grossa matsumurai ","Unidentified sp2 M_PL_054","Chalicodoma disjunctiformis ","Eucetonia pilifera","Bombus ignitus","Episyrphus balteatus","Pieris rapae ","Bombus hypocrita hypocrita","Loderus insulicola ","Megachile kobensis ","Andrena Knuthi","Anthaxia Proteus ","Megachile subalbuta ","Pristomyrmex punger ","Megachile nipponica ","Parnara guttata ","Philopota nigroaenea ","Chalicodoma sculpturalis ","Lasioglossum sp1 M_PL_054","Eurema hecabe ","Lasioglossum japonicum","Megachile tsurugensis ","Polistes jadwigae ","Tetralonia mitsukurii ","Unidentified sp3 M_PL_054","Unidentified sp4 M_PL_054","Zizeeria maha ","Eurystylus coelestialium ","Polistes mandarinus ","Papilio xuthus ","Graphium sarpedon nipponum ","Ypthima argus ","Arge similis ","Campsomeris primatica ","Campsomeris testaceipes ","Cerceris japonica ","Unidentified sp5 M_PL_054","Andrena opacifovea opacifovea","Blitopertha conspurcata ","Cerceris albofasciata ","Euapis basalis ","Helophilus virgatus ","Lasioglossum taniolellum","Lasius niger","Priophorus nigricans ","Scolia oculata ","Sphaerophoria menthastri","Unidentified sp6 M_PL_054","Unidentified sp7 M_PL_054","Unidentified sp8 M_PL_054","Anthophora pilipes villosula ","Camponotus japonicus","Dermestes haemorrhoidalis ","Halictus aerarius ","Melanostoma scalare","Nysius sp1 M_PL_054","Popillia japonica ","Protaetia orientalis ","Unidentified sp10 M_PL_054","Unidentified sp11 M_PL_054","Unidentified sp12 M_PL_054","Unidentified sp9 M_PL_054","Vespa analis insularis ","Asclera nigrocya ","Bombus diversus diversus","Bombylius major","Callosobruchus chinensis ","Carpophilus chalybeus ","Lasioglossum duplex","Linotetis coeruleipennis ","Lycaena phlaeas ","Megachile remota sakagamii ","Megaspis zonata ","Mordellina sp1 M_PL_054","Nomada ginran ","Oracistrocerus drewseni drewseni ","Osmia imaii ","Papilix Protenor demetrius ","Stenodynerus frauenfeldi ","Syritta pipiens","Unidentified sp13 M_PL_054","Unidentified sp14 M_PL_054","Unidentified sp15 M_PL_054","Unidentified sp16 M_PL_054","Unidentified sp17 M_PL_054","Xylocopa appendicuiata circumvolan ","Andrena japonica ","Andrena komachi ","Andrena yamamotoi ","Anterhynchium flavomarginatum micado ","Athalia japonica ","Bruchidius dorsalis ","Bruchidius urbanus ","Ceratina iwatai","Ceratina japonica ","Cheilosia sp1 M_PL_054","Coelioxys fenestrata ","Dybowskia reticulata ","Gymnosoma rotundatum ","Lasiogiossum Proximatum ","Lasioglossum mutilum ","Lasioglossum scitulum ","Lasioglossum sibiriacum","Macrophya falsifica ","Metasyrphus nintens ","Osmia orientalis ","Pachyprotasis sp1 M_PL_054","Panurginus crawfordi ","Pieris melete","Polistes snelleni ","Scolia historionica japonica ","Sphex diabolicus flammitrichus ","Stenodynerus chinensis simillimus ","Tiphia sp1 M_PL_054","Unidentified sp18 M_PL_054","Unidentified sp19 M_PL_054","Unidentified sp20 M_PL_054","Unidentified sp21 M_PL_054","Unidentified sp22 M_PL_054","Unidentified sp23 M_PL_054","Unidentified sp24 M_PL_054","Unidentified sp25 M_PL_054","Unidentified sp26 M_PL_054","Unidentified sp27 M_PL_054","Unidentified sp28 M_PL_054","Unidentified sp29 M_PL_054","Unidentified sp30 M_PL_054","Unidentified sp31 M_PL_054","Unidentified sp32 M_PL_054","Unidentified sp33 M_PL_054","Unidentified sp34 M_PL_054","Unidentified sp35 M_PL_054","Agrypnus binodulusllis ","Ammophila clavus ","Andrena benefica","Andrena brassicae ","Anomala albopilosa ","Anthocris scolymus ","Blitopertha orientalis ","Brachymeria fiskei ","Byasa alcinous ","Campsomeris annulata ","Ceratina esakii ","Chlorophorus japonicus ","Cletus rusticus ","Cletus trigonus ","Coelioxys yanonis ","Colletes sp1 M_PL_054","Colletes sp2 M_PL_054","Cyphononyx dorsalis ","Dasytes vulgaris ","Dere thoracica ","Didea fasciata ","Ectemnius rubicola","Eristalomya tenax ","Eumenes decorata ","Eumenes rubronotatus ","Eusphalerum parallelum ","Everes argiades ","Hylaeus floralis ","Hylaeus nippon ","Ivela auripes","Lasiogiossum japonicum ","Lasioglossum baleicum","Lasioglossum exiliceps","Lasioglossum proximatum","Lasioglossum sp2 M_PL_054","Lathrophthalmus ocularis ","Leptocorixa corbetti ","Libythea celtis ","Linoetis coeruleipennis ","Lithurgus collaris ","Megachile pseudomonticola ","Metasyrphus corollae","Nipponovalgus angusticollis ","Nomada japonica","Nomada shepparadana okubira ","Osmia taurus ","Paragus tibialis ","Phyllopertha irregularis ","Pipiza inornata ","Polistes rothoneyi iwatai ","Pseudomerdon takasaqoensis ","Sastragala scutellata ","Stenodryas clavigera ","Stenodynerus tokyanus tokyanus ","Strogylogaster onocleae ","Syrphus japonica ","Syrphus vitripennis ","Trichius japonicus ","Unidentified sp100 M_PL_054","Unidentified sp101 M_PL_054","Unidentified sp102 M_PL_054","Unidentified sp103 M_PL_054","Unidentified sp104 M_PL_054","Unidentified sp105 M_PL_054","Unidentified sp106 M_PL_054","Unidentified sp107 M_PL_054","Unidentified sp108 M_PL_054","Unidentified sp109 M_PL_054","Unidentified sp110 M_PL_054","Unidentified sp111 M_PL_054","Unidentified sp112 M_PL_054","Unidentified sp113 M_PL_054","Unidentified sp114 M_PL_054","Unidentified sp115 M_PL_054","Unidentified sp116 M_PL_054","Unidentified sp117 M_PL_054","Unidentified sp118 M_PL_054","Unidentified sp119 M_PL_054","Unidentified sp120 M_PL_054","Unidentified sp121 M_PL_054","Unidentified sp122 M_PL_054","Unidentified sp123 M_PL_054","Unidentified sp124 M_PL_054","Unidentified sp125 M_PL_054","Unidentified sp126 M_PL_054","Unidentified sp127 M_PL_054","Unidentified sp128 M_PL_054","Unidentified sp129 M_PL_054","Unidentified sp130 M_PL_054","Unidentified sp131 M_PL_054","Unidentified sp132 M_PL_054","Unidentified sp133 M_PL_054","Unidentified sp134 M_PL_054","Unidentified sp135 M_PL_054","Unidentified sp136 M_PL_054","Unidentified sp137 M_PL_054","Unidentified sp138 M_PL_054","Unidentified sp139 M_PL_054","Unidentified sp140 M_PL_054","Unidentified sp36 M_PL_054","Unidentified sp37 M_PL_054","Unidentified sp38 M_PL_054","Unidentified sp39 M_PL_054","Unidentified sp40 M_PL_054","Unidentified sp41 M_PL_054","Unidentified sp42 M_PL_054","Unidentified sp43 M_PL_054","Unidentified sp44 M_PL_054","Unidentified sp45 M_PL_054","Unidentified sp46 M_PL_054","Unidentified sp47 M_PL_054","Unidentified sp48 M_PL_054","Unidentified sp49 M_PL_054","Unidentified sp50 M_PL_054","Unidentified sp51 M_PL_054","Unidentified sp52 M_PL_054","Unidentified sp53 M_PL_054","Unidentified sp54 M_PL_054","Unidentified sp55 M_PL_054","Unidentified sp56 M_PL_054","Unidentified sp57 M_PL_054","Unidentified sp58 M_PL_054","Unidentified sp59 M_PL_054","Unidentified sp60 M_PL_054","Unidentified sp61 M_PL_054","Unidentified sp62 M_PL_054","Unidentified sp63 M_PL_054","Unidentified sp64 M_PL_054","Unidentified sp65 M_PL_054","Unidentified sp66 M_PL_054","Unidentified sp67 M_PL_054","Unidentified sp68 M_PL_054","Unidentified sp69 M_PL_054","Unidentified sp70 M_PL_054","Unidentified sp71 M_PL_054","Unidentified sp72 M_PL_054","Unidentified sp73 M_PL_054","Unidentified sp74 M_PL_054","Unidentified sp75 M_PL_054","Unidentified sp76 M_PL_054","Unidentified sp77 M_PL_054","Unidentified sp78 M_PL_054","Unidentified sp79 M_PL_054","Unidentified sp80 M_PL_054","Unidentified sp81 M_PL_054","Unidentified sp82 M_PL_054","Unidentified sp83 M_PL_054","Unidentified sp84 M_PL_054","Unidentified sp85 M_PL_054","Unidentified sp86 M_PL_054","Unidentified sp87 M_PL_054","Unidentified sp88 M_PL_054","Unidentified sp89 M_PL_054","Unidentified sp90 M_PL_054","Unidentified sp91 M_PL_054","Unidentified sp92 M_PL_054","Unidentified sp93 M_PL_054","Unidentified sp94 M_PL_054","Unidentified sp95 M_PL_054","Unidentified sp96 M_PL_054","Unidentified sp97 M_PL_054","Unidentified sp98 M_PL_054","Unidentified sp99 M_PL_054","Vespula flaviceps lewisi ","Vollucella tabanoides ","Xptocopa appendiculata circumvolan "
"Deutzia crenata",0,2,1,0,0,0,1,0,0,0,1,0,0,1,0,10,18,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cayratia japonica",0,0,8,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Syringa vulgaris",22,0,0,0,0,0,2,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Baccharis trimera",0,0,1,0,0,6,0,0,0,0,0,13,1,1,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Itea parviflora",2,0,5,0,0,3,1,0,5,0,2,1,1,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"Tilia miqueliana",0,9,7,0,0,2,0,6,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lespedeza thunbergii",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,8,0,0,0,1,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pyracantha angustifolia",5,0,0,0,0,0,12,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Taraxacum japonicum",0,0,0,0,0,1,0,0,0,2,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prunus sp1 M_PL_054",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ligustrum obtusifolium",0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Rhus sylvestris",5,0,2,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Swida stlonifera",24,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cinnamomum camphora",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
