"","Apis mellifera","Nacoleia sp1 M_PL_064","Pachycerina crinicornis ","Technomyrmex albipes ","Brachymyrmex sp1 M_PL_064","Stomorhina lunata","Chaetocnema sp1 M_PL_064","Lygistorrhina sp1 M_PL_064","Chrysomya megacephala ","Panara naso","Psilopa iceryae ","Lygaeidae sp1 M_PL_064","Ornidia obesa","Sapromyza sp1 M_PL_064","Zosterops mauritianus","Drosophila sp1 M_PL_064","Eristalinus flaveolus","Musca domestica","Polistes hebraeus","Stomoxys calcitrans","Ahasverus advena ","Allograpta nasuta","Nacoleia sp2 M_PL_064","Paragus borbonicus","Pelecophora intemipta","Acopsis viridicans","Dysauxes florida","Eilema squalida","Lecithoceridae sp1 M_PL_064","Mauritiborium undulatus ","Pheidole megacephala","Bactrocera cucurbitae","Calcidoidae sp1 M_PL_064","Condica capensis","Dioxyna sororcula ","Episyrphus sp1 M_PL_064","Eumolpinae sp1 M_PL_064","Fannia pusio ","Henotesia narcissus","Homoneura sp1 M_PL_064","Ischiodon aegyptius ","Lecithoceridae sp2 M_PL_064","Limoniidae sp1 M_PL_064","Melanostoma bituberculatum ","Miridae sp1 M_PL_064","Mythimna sp1 M_PL_064","Orthellia albigena ","Psyllidae sp1 M_PL_064","Sarcophaga arno ","Spilogona sp1 M_PL_064","Stomoxys niger","Syritta sp1 M_PL_064","Trichoplusia indicator ","Zaprionus vittiger"
"Erythroxylum macrocarpum",1,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chassalia coriacea",0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chassalia petrinensis",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"Erythrospermum monticolum",0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Flagellaria indica",0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Monimiastrum globosum",1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Roussea simplex ",0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cordemoya integrifolia",0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Molinaea alternifolia",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Euodia chapelieri",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Faujasiopsis flexuosa",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ochna mauritiana",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Agauria salicifolia",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Olea lancea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pandanus wiehii",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
