"","Unidentified sp32 M_PL_017","Sphaerophoria scripta","Eriothrix rufomaculata","Unidentified sp22 M_PL_017","Episyrphus balteatus","Unidentified sp31 M_PL_017","Unidentified sp42 M_PL_017","Unidentified sp39 M_PL_017","Symphyta sp1 M_PL_017","Syritta pipiens","Unidentified sp17 M_PL_017","Unidentified sp18 M_PL_017","Unidentified sp15 M_PL_017","Eristalis tenax","Bombus pascuorum","Melanostoma mellinum","Episyrphus arbustorum","Unidentified sp13 M_PL_017","Unidentified sp33 M_PL_017","Scatophaga stercoraria","Unidentified sp16 M_PL_017","Melanostoma scalare","Platycheirus clypeatus","Unidentified sp19 M_PL_017","Unidentified sp38 M_PL_017","Unidentified sp29 M_PL_017","Bombus muscorum","Eristalis pertinax","Unidentified sp8 M_PL_017","Helophilus pendulus","Platycheirus albimanus","Syrphus vitripennis.","Pyonia tithonus","Bombus lapidarius","Bombus terrestris","Meliscaeva auricollis ","Metasyrphus corollae","Polyommatus icarus ","Rhingia campestris","Syrphus ribesii","Unidentified sp43 M_PL_017","Apis mellifera","Chrysotoxum bicinctum","Unidentified sp10 M_PL_017","Unidentified sp27 M_PL_017","Aglais urticae","Pieris brassicae","Unidentified sp1 M_PL_017","Unidentified sp12 M_PL_017","Unidentified sp2 M_PL_017","Unidentified sp20 M_PL_017","Unidentified sp24 M_PL_017","Unidentified sp25 M_PL_017","Unidentified sp7 M_PL_017","Unidentified sp41 M_PL_017","Unidentified sp6 M_PL_017","Maniola jurtina","Psithyrus sp1 M_PL_017","Unidentified sp14 M_PL_017","Unidentified sp28 M_PL_017","Unidentified sp3 M_PL_017","Unidentified sp36 M_PL_017","Unidentified sp40 M_PL_017","Unidentified sp9 M_PL_017","Xanthogramma pedissequum","Helophilus trivittatus","Platycheirus scutatus","Scaeva pyrastri","Thymelicus sylvestris","Unidentified sp11 M_PL_017","Unidentified sp21 M_PL_017","Unidentified sp23 M_PL_017","Unidentified sp26 M_PL_017","Unidentified sp30 M_PL_017","Unidentified sp34 M_PL_017","Unidentified sp35 M_PL_017","Unidentified sp37 M_PL_017","Unidentified sp4 M_PL_017","Unidentified sp5 M_PL_017"
"Crepis capillaris",10,5,0,1,0,1,4,1,1,0,1,0,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Linum catharticum",1,16,3,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chamerion angustifolium",3,1,8,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Plantago major",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Angelica sylvestris",2,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Leontodon saxatilis",7,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Senecio jacobea",3,3,0,0,1,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Agrimonia eupatoria",1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clematis vitalba",1,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Euphrasia officinalis",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Convolvulus arvensis",0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Medicago lupulina",0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lathyrus pratensis",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lotus corniculatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rubus fruticosus",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
