"","Scaeva melanostoma","Unidentified sp1 M_PL_001","Unidentified sp2 M_PL_001","Megachile semirufa","Centris cineraria","Megachile sp1 M_PL_001","Caenohalictus sp1 M_PL_001","Alloscirtetica sp1 M_PL_001","Auca coctei","Anthidium chilensis","Etcheverrius chilensis","Villa sp1 M_PL_001","Bombus dahlbomii","Megachile sp2 M_PL_001","Panur sp1 M_PL_001","Unidentified sp3 M_PL_001","Anthidium funereum","Unidentified sp4 M_PL_001","Anthidium gayi","Villa hypoxantha","Villa verdensis","Anthidium decapsilum","Cadeguala occidentalis","Centris nigerrima","Unidentified sp5 M_PL_001","Unidentified sp6 M_PL_001","Xanthocolletes sicheli","Alloscirtetica rufitarsis","Faunula leucoglene","Hypodynerus sp1 M_PL_001","Lyophlaeba lugubris","Ruiziella luctuosa","Truphloechus bellus","Unidentified sp7 M_PL_001","Villa semifuscata","Yramea lathonoides","Alloscirtetica gayi","Anthophora incerta","Anthophora sp1 M_PL_001","Centris sp1 M_PL_001","Chaetodemoticus chilensis","Euryglostromyia philippii","Habromyia lipoflava","Hypodynerus sp2 M_PL_001","Hypodynerus sp3 M_PL_001","Liphanthus sabulosus","Lithurgomma wagenknechti","Mesonychium gayi","Pseudolucia chilensis","Ruizantheda mutabilis","Spathipalpus philippii","Tatochila mercedis","Unidentified sp8 M_PL_001","Villa flavicura","Xanthocolletes incahuasi","Andinus venustus","Anthidium adriani","Caenohalictus sp2 M_PL_001","Caenohalictus sp3 M_PL_001","Caupolicana dimidiata","Chilicola sp1 M_PL_001","Chilicola sp2 M_PL_001","Chilimelissa sp1 M_PL_001","Coelioxys sp1 M_PL_001","Colletes aruacariae","Colletes fulvipes","Colletes sp1 M_PL_001","Corynurus sp1 M_PL_001","Dasybasis sp1 M_PL_001","Dialictus sp1 M_PL_001","Elaphroptera relicta","Eristalis tenax","Hemicolletes ruizii","Hypsochila wagenknechti","Isepeolus niveiventris","Liphanthus sp1 M_PL_001","Liphanthus sp2 M_PL_001","Phulia nymphula","Prosopochaeta caliginosa","Prosopochaeta sp1 M_PL_001","Scaptia atra","Svastrides melanura","Tapinotaspis caerulea","Tapinotaspis herbsti","Tatochila sp1 M_PL_001","Unidentified sp10 M_PL_001","Unidentified sp11 M_PL_001","Unidentified sp12 M_PL_001","Unidentified sp13 M_PL_001","Unidentified sp14 M_PL_001","Unidentified sp15 M_PL_001","Unidentified sp16 M_PL_001","Unidentified sp17 M_PL_001","Unidentified sp18 M_PL_001","Unidentified sp9 M_PL_001","Vibrissomyia sp1 M_PL_001","Villa arenarus","Villa durvillei","Villa gayi","Villa guttapennis","Xanthocolletes sp1 M_PL_001"
"Bowlesia tropaeolifolia",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Calceolaria montana",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chaetanthera microphylla",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haplopappus chysanthemifolius",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leucocoryne pauciflora",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mustisia acerosa",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mustisia subulata",0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oxalis cinerea",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oxalis geminata",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Oxalis sp1 M_PL_001",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Schizanthus grahamii",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Senecio lithostaurus",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Valeriana gracileps",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asteriscium aemocarpon",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Berberis montana",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erodium cicutarium",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
