"","Apis mellifera","Melipona scutellaris","Xylocopa sp1 M_PL_031","Bombus volucelloides","Euglossa sp1 M_PL_031","Bombus pullatus","Politmus milleri","Bombus atratus","Augochloropsis sp1 M_PL_031","Cerciris sp1 M_PL_031","Polybia scrobalis","Calicopis sp1 M_PL_031","Ceratina sp1 M_PL_031","Augochlora sp1 M_PL_031","Campsomeris sp1 M_PL_031","Copestylum sp1 M_PL_031","Dialictus sp1 M_PL_031","Exomalopsis sp1 M_PL_031","Polistes lanio","Sphex ichneumoneus","Eulaema meriana","Pachodynerus nasidens","Panoquina bola","Polybia occidentalis","Psedagochloropsis sp1 M_PL_031","Sphex sp1 M_PL_031","Augochloropsis sp2 M_PL_031","Augochloropsis sp3 M_PL_031","Brachygastra lecheguana","Coereba flaveola ","Cyclocephala sp1 M_PL_031","Cyclocephala sp2 M_PL_031","Cylindromia sp1 M_PL_031","Dialictus sp2 M_PL_031","Eristalis sp1 M_PL_031","Hylaeus sp1 M_PL_031","Melipona compresipes","Montezumia azurescens","Oxybelus sp1 M_PL_031","Pepsis sp1 M_PL_031","Pereirapsis sp1 M_PL_031","Polistes vibex","Pyrrhogige sp1 M_PL_031","Sarcodexia innota","Sticia sp1 M_PL_031","Tachites sp1 M_PL_031","Vehilius inca","Volucella sp1 M_PL_031","Zonotrichia capensis"
"Mikania psilotachya",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Pagameopsis garryoides",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Philodendron ptarianum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Remijia densiflora",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sipanea galioides",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Ternstroemia crassifolia",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Xyris setigera",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Catasetum discolor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Epistephium duckei",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Irlbachia nemorosa",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macairea parvifolia",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Notopora schomburgkii",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pogonia stricta",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sauvagesia angustifolia",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sobralia liliastrum",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tococa nitens",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
