"","Phaonia alpicola","Limnophyes ninae ","Megaselia diversa ","Megaselia sp1 M_PL_009","Smittia sp1 M_PL_009","Megaselia digitalis","Chloropinae sp1 M_PL_009","Parapiophila vulgaris","Aclastus sp1 M_PL_009","Micropsectra radialis","Noctuidae sp1 M_PL_009","Arpedium sp1 M_PL_009","Mycomya fuscata","Oliveridia tricornis ","Phaonia subfuscinervis","Podabrus sp1 M_PL_009","Rhamphomyia aethiops","Rhamphomyia reflexa","Corynoptera refrigerata","Cotesia sp1 M_PL_009","Empis lucida","Limnophilus sp1 M_PL_009","Paradelia sp1 M_PL_009","Pegoplata aestiva","Pteromalidae sp1 M_PL_009","Urbicola sp1 M_PL_009","Xestommaster sp1 M_PL_009","Aclastus sp2 M_PL_009","Botanophila bidens","Cidaria sp1 M_PL_009","Egle parva","Egle sp1 M_PL_009","Limnophyes brachytomus","Limnophyes natalensis","Megaselia giraudii","Megaselia sordida","Micropsectra sp1 M_PL_009","Orthocentrinae sp1 M_PL_009","Phygadeuon sp1 M_PL_009","Rhamphomyia morio","Spilagona nitidicauda","Thricops furcatus","Acamptocladius submontanus","Alliopsis glacialis","Allophorocera lapponica ","Alysiinae sp1 M_PL_009","Alysiinae sp2 M_PL_009","Alysiinae sp3 M_PL_009","Alysiinae sp4 M_PL_009","Alysiinae sp5 M_PL_009","Anarta sp1 M_PL_009","Anthomyiidae sp1 M_PL_009","Anthomyiidae sp2 M_PL_009","Anthomyiidae sp3 M_PL_009","Bellardia pubicornis","Boletina sp1 M_PL_009","Bombus alpinus","Bombus hyperboreus","Bradysia giraudi","Bradysia sp1 M_PL_009","Bradysia sp2 M_PL_009","Bradysia sp3 M_PL_009","Chamaepsila morio","Coenosia atritibia","Coenosia octopunctata","Corynoneura scutellata","Corynoptera sp1 M_PL_009","Corynoptera sp2 M_PL_009","Dasineura sp1 M_PL_009","Delia piliventris","Dolichopus plumipes","Egle minuta","Fannia mollissima","Gimnomera dorsala","Heterotrissocladius subpilosus","Ichneumonidae sp1 M_PL_009","Ichneumonidae sp2 M_PL_009","Ichneumonidae sp3 M_PL_009","Ichneumonidae sp4 M_PL_009","Limnophyes schnelli ","Lycoriella curvispina ","Lycoriella freyi","Lycoriella sp1 M_PL_009","Lycoriella sp2 M_PL_009","Megaselia cirriventris","Megaselia coei ","Megaselia groenlandica ","Megaselia pleuralis","Micropsectra sp2 M_PL_009","Pegomya haemorrhoum","Pegomya sp1 M_PL_009","Phaonia lugubris","Phyllolabis macroura","Phytomyza aquilonia","Platygaster sp1 M_PL_009","Platypalpus nigritarsis","Porizontini sp1 M_PL_009","Pseudosmittia oxoniana ","Pteromalidae sp2 M_PL_009","Rhamphomyia obscuripennis","Rhaphium crassipes","Smittia betuletorum ","Smittia cf. aterrima","Smittia sp2 M_PL_009","Spilogona alpica","Spilogona megastoma","Spilogona triangulifera","Stenomacrus sp1 M_PL_009","Tetrastichinae sp1 M_PL_009","Thricops cunctans","Thricops hirtulus","Thricops nigritellus","Thricops rostratus","Trichosia truncata ","Zaphne barbiventris","Zaphne frontata","Zaphne sp1 M_PL_009","Zaphne sp2 M_PL_009"
"Saxifraga oppositifolia",1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Trollius europaeus",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Viola biflora",0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Pinguicula alpina",1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhodiola rosea",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhododendron lapponicum",1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Taraxacum officinale",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Antennaria alpina",0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arabis alpina",0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Astragalus alpinus",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cassiope tetragona",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Salix polaris",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cassiope hypnoides",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bartsia alpina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
