,Seabirds,Killer whales,Dolphins,Loggerhead turtles,Sharks,Demersal piscivores,Anglerfishes,Skates,Adult hake,Juvenile hake,Mackerels,Horse mackerels,Benthic cephalopods,Common octopus,Benthopelagic cephalopods,Deep-sea fishes,Large benthopelagic fishes,Small benthopelagic fishes,Flatfishes,Demersal fishes,Mullets,Commercial sparids 1,Commercial sparids 2,Blue whiting,Small demersal fishes,Anchovy,Sardine,Rose shrimp,Norway lobster,Mantis shrimp,Crabs,Shrimps,Gelatinous zooplankton,Benthic invertebrates C,Polychaetes,Suprabenthos,Benthic invertebrates FDS,Bivalves,Macrozooplankton,Meso and microzooplankton
Commercial sparids 2,,,0.412,,,,,,,,,,,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,
Blue whiting ,,,0.026,,0.01,0.03,,,0.015,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small demersal fishes ,,,0.003,,0,0.046,0.018,0.01,0.071,0.117,0.075,0.086,0.038,,0.037,0.004,0.001,,0.189,0.031,0.002,0.076,0.277,0.094,0.005,,,,,,0.034,,,,,,,,,
Anchovy ,0.089,0.026,0.076,,0.047,0.066,,,0.298,0.193,0.078,,0.059,0.185,0.3,,,,,0.01,,0.007,0.066,,,,,,,,,,,,,,,,,
Sardine ,0.171,0.01,0.176,,0.053,0.029,,,0.191,,,,0.264,0.204,0.16,,,,0.00003,,,,,,,,,,,,,,,,,,,,,
Rose shrimp ,,,0.017,,0.01,0.012,0.009,0.003,0.019,0.005,,,0.06,0.109,,0.025,,,,0.007,0.009,,,,,,,,,,,,,,,,,,,
Norway lobster ,,,,,,0.02,,,,,,,,,,,,,,0.005,,,,,,,,,,,,,,,,,,,,
Mantis shrimp ,,,0.003,,0.00001,,,,,,,,,,,,,,0.000005,,,,0.007,,,,,,,,,,,,,,,,,
Crabs ,,,,0.082,0.071,0.057,,0.237,0.065,0.034,,0.001,0.023,0.089,0.039,0.263,0.002,,0.267,0.174,0.243,0.047,0.028,0.003,0.054,,,0.021,0.13,0.14,0.005,,,,,,,,,
Shrimps ,,0.27,0.022,,0.11,0.046,0.007,0.322,0.075,0.191,0.238,0.009,0.174,0.002,0.039,0.166,0.136,0.03,0.065,0.171,0.136,0.039,0.03,0.176,0.078,,,0.18,0.161,0.09,0.018,0.01,,,,,,,,
Gelatinous zooplankton ,,,,0.02,,0,,,,,0.008,,,,,,,,,0.007,,0.001,0.002,,,,,,0.096,,,,0.05,,,,,,,
Benthic invertebrates C ,,,,0.1,0.0001,,,,,,,,0.011,0.105,,0.007,,,0.003,0.025,0.014,0.053,0.101,,0.025,,,0.005,0.048,0.2,0.05,,,0.05,,,,,,
Polychaetes ,,,,,0.024,0.002,,0.005,,,0.003,,,,,0.018,,,0.109,0.013,0.185,0.196,0.111,,0.136,,,0.18,0.048,0.07,0.14,0.024,,0.05,,,,,,
Suprabenthos ,,,,,0.079,0.002,,0.084,0.015,0.207,0.003,0.057,0.013,0.0001,0.052,0.444,0.04,0.095,0.247,0.23,0.35,0.061,0.021,0.398,0.158,,,0.157,,0.09,0.179,0.326,,,,,,,,
Benthic invertebrates FDS,,,,,0.002,0.005,,0.011,,,0.021,,0.0001,,,0.0003,,,0.014,0.264,0.003,0.372,0.017,,0.001,,,0.11,0.076,0.2,0.085,0.002,,0.312,,,,,,
Bivalves ,,,,,0,,,0.215,,,,,0.031,0.166,,0.00003,,,0.018,0.0004,0.053,0.024,0.113,,0.033,,,0.069,0.037,,0.234,0.084,,0.052,,,,,,
Macrozooplankton ,0.002,,,,0.103,0.0003,,0.01,0.007,0.175,0.505,0.848,0.17,,0.259,0.072,0.458,0.36,0.062,0.029,0.002,0.002,0.046,0.271,0.011,,,0.043,0.099,,0.009,0.344,,,,,,,,
Meso and microzooplankton ,,,,,,,,,,,,,0.004,,,,,0.513,0.000002,0.002,0.001,0.059,,,0.499,1,0.946,0.031,0.003,,0.005,,0.8,0.174,,0.1,,,0.1,
Phytoplankton ,,,,,,,,,,,,,,,,,,,,,,0.023,,,,,0.054,,,,,0.004,0.05,0.082,0.1,0.05,,0.5,0.1,1
Detritus ,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,0.111,0.16,0.218,0.19,,0.28,0.9,0.85,1,0.5,0.8,
Discard ,0.281,,,0.25,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,
Import ,0.404,,,0.448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
