"","Bombus dahlbomii","Apis mellifera","Melanostoma sp1 M_PL_034","Corynura patagonica","Cadeguala albopilosa","Eristalis elegans","Unidentified sp32 M_PL_034","Allograpta pulchra","Mordella erythrura","Sephanoides sephaniodes","Unidentified sp4 M_PL_034","Caenohalictus movilicornis","Chauliognathus sp1 M_PL_034","Hyponotum kraussei","Mesograpta philippi","Stilbosona cyanea","Diphaglossa gayi","Thrypticus sp1 M_PL_034","Unidentified sp18 M_PL_034","Unidentified sp21 M_PL_034","Unidentified sp49 M_PL_034","Cadeguala occipitalis","Corynura rubella","Fazia macquarti","Melanostoma chalconotus","Melanostoma lundbladi","Rhopalomerus tenuirostris","Unidentified sp16 M_PL_034","Unidentified sp20 M_PL_034","Unidentified sp22 M_PL_034","Unidentified sp39 M_PL_034","Unidentified sp48 M_PL_034","Adalia deficiens","Callideriphus laetus","Cheilosia nitescens","Corynura corynogastra","Craspedochaeta linbinervis","Dasydema hirtella","Dysmorphocellus sp1 M_PL_034","Eristalis assimilis","Fannia sp3 M_PL_034","Fannia sp4 M_PL_034","Fazia bullaephora","Mecopselaphus maculicollis","Megalybus crassus","Melanostoma fenestratus","Mesograpta calceolatus","Platynocera gracilis","Syrphus octomaculatus","Unidentified sp12 M_PL_034","Unidentified sp14 M_PL_034","Unidentified sp17 M_PL_034","Unidentified sp3 M_PL_034","Unidentified sp33 M_PL_034","Unidentified sp35 M_PL_034","Unidentified sp37 M_PL_034","Unidentified sp42 M_PL_034","Unidentified sp46 M_PL_034","Unidentified sp51 M_PL_034","Unidentified sp8 M_PL_034","Unidentified sp9 M_PL_034","Allograpta hortensis","Carduelis barbatus","Chenoderus testaceus","Chlamysus sp1 M_PL_034","Clamirius apicarius","Corynura aff. atrovirens","Corynura aff. lepida","Dolichogyna chilensis","Dolichogyna nigripes","Elaenia albiceps","Eristalis tenax","Eroessa chilensis","Eurymetopun obscurum","Eurymetopun prasinum","Eurymetopun proteus","Fannia sp1 M_PL_034","Fannia sp2 M_PL_034","Fannia sp5 M_PL_034","Fannia sp6 M_PL_034","Fannia sp7 M_PL_034","Hylodanacea binotus","Hylodanacea elegans","Hypodynerus sp1 M_PL_034","Lypha erigonopsidis","Macrometopia atra","Melanophthalma aff. seminigra","Mordella luctuosa","Morphodexia sp1 M_PL_034","Peleteria filipalpis","Phrygilus patagonicus","Platynocera gracilipes","Protosialis chilensis","Scaptia horrens","Schizochelus serratus","Trichophthalma commutata","Trichophthalma herbsti","Tropidia sp1 M_PL_034","Unidentified sp1 M_PL_034","Unidentified sp10 M_PL_034","Unidentified sp11 M_PL_034","Unidentified sp13 M_PL_034","Unidentified sp15 M_PL_034","Unidentified sp19 M_PL_034","Unidentified sp2 M_PL_034","Unidentified sp23 M_PL_034","Unidentified sp24 M_PL_034","Unidentified sp25 M_PL_034","Unidentified sp26 M_PL_034","Unidentified sp27 M_PL_034","Unidentified sp28 M_PL_034","Unidentified sp29 M_PL_034","Unidentified sp30 M_PL_034","Unidentified sp31 M_PL_034","Unidentified sp34 M_PL_034","Unidentified sp36 M_PL_034","Unidentified sp38 M_PL_034","Unidentified sp40 M_PL_034","Unidentified sp41 M_PL_034","Unidentified sp43 M_PL_034","Unidentified sp44 M_PL_034","Unidentified sp47 M_PL_034","Unidentified sp5 M_PL_034","Unidentified sp50 M_PL_034","Unidentified sp6 M_PL_034","Unidentified sp7 M_PL_034","Vanessa sp1 M_PL_034","Vespula germanica"
"Embothrium coccineum",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Rhaphithamnus spinosus",1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Berberis darwinii",1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hydrangea serratifolia",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anagallis alternifolia",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ovidia pillopillo",1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Berberis buxifolia",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gaultheria phillyreifolia",1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ugni molinae",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asteranthera ovata",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gaultheria mucronata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Luzuriaga polyphylla",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Luzuriaga radicans",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mitraria coccinea",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myrteola nummularia",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ugni candollei",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
