"","Orthorhyncus cristatus","Apis mellifera","Unidentified sp1 M_PL_041","Unidentified sp2 M_PL_041","Unidentified sp8 M_PL_041","Xylocopa sp1 M_PL_041","Unidentified sp4 M_PL_041","Unidentified sp3 M_PL_041","Wasmannia auropunctata","Appias drusilla","Unidentified sp6 M_PL_041","Ascia monuste","Unidentified sp7 M_PL_041","Unidentified sp5 M_PL_041","Coereba flaveola ","Electrostrymon angerona","Polygonus sp1 M_PL_041","Janonia evarete","Dryas iulia","Agraulis vanillae","Allosmaitia piplea","Urbanus sp1 M_PL_041","Phoebis sp1 M_PL_041","Unidentified sp10 M_PL_041","Eulampis holosericeus","Eulampis jugularis","Marpesia petreus","Unidentified sp18 M_PL_041","Unidentified sp13 M_PL_041","Unidentified sp16 M_PL_041","Unidentified sp20 M_PL_041","Cyanophaia bicolor","Loxigilla noctis","Unidentified sp17 M_PL_041","Unidentified sp19 M_PL_041","Unidentified sp9 M_PL_041","Anartia jatrophae","Anolis oculatus","Hemiargus hanno","Pyrgus oileus","Unidentified sp11 M_PL_041","Unidentified sp12 M_PL_041","Unidentified sp15 M_PL_041"
"Byrsonima spicata",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Miconia striata",0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spermacoce assurgens",0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ludwigia octovalvis",0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Odontonema nitidum",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Palicourea crocea ",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Centrosema virginianum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Coccoloba sp1 M_PL_041",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Desmodium adscendens",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oxalis barrelieri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Oxalis frutescens",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stigmaphyllon diversifolium",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
