#ProteinA	ProteinB	PDB_Code	evidence
A3QNQ0	P37173	3kfd	MI:0114  x-ray crystallography
A3ZJL2	D3FLM4	3d6x	MI:0114  x-ray crystallography
A4KIP1	A5U4D5	3mka	MI:0114  x-ray crystallography
A4KIP1	A5WP83	3h6i	MI:0114  x-ray crystallography
A4KIP1	C1AQ26	3mka	MI:0114  x-ray crystallography
A4KIP1	D5Z4X9	3mka	MI:0114  x-ray crystallography
A4KIP1	D6FCP8	3mka	MI:0114  x-ray crystallography
A4KIP1	D7ESJ2	3mka	MI:0114  x-ray crystallography
A4KIP1	E2TAM5	3mka	MI:0114  x-ray crystallography
A4KR29	B4AQU0	3p2l	MI:0114  x-ray crystallography
A4KR29	D2AMC8	3p2l	MI:0114  x-ray crystallography
A4KR29	Q5NH47	3p2l	MI:0114  x-ray crystallography
A4L8F7	P01887	3e6h	MI:0114  x-ray crystallography
A5A6J1	D0VWZ0	3hkc	MI:0114  x-ray crystallography
A5F0W4	A6A028	3eg7	MI:0114  x-ray crystallography
A5GZW8	Q0QF01	1zoy,1zp0,3abv,3ae1,3ae2,3ae3,3ae4,3ae5,3ae6,3ae7,3ae8,3ae9,3aea,3aeb,3aec,3aed,3aee,3aef,3aeg,3sfd,3sfe	MI:0114  x-ray crystallography
A5U0C2	Q7D9D3	3hug	MI:0114  x-ray crystallography
A5U2B8	P66034	2vi5	MI:0114  x-ray crystallography
A5U4D5	A5U4D6	3mka	MI:0114  x-ray crystallography
A5U4D5	C1AQ26	3mka	MI:0114  x-ray crystallography
A5U4D5	D5YRR7	3mka	MI:0114  x-ray crystallography
A5U4D5	D6FCP8	3mka	MI:0114  x-ray crystallography
A5U4D5	D7ESJ2	3mka	MI:0114  x-ray crystallography
A5U4D5	E2TAM5	3mka	MI:0114  x-ray crystallography
A5U4D5	O33245	3mka	MI:0114  x-ray crystallography
A5U4D6	C1AQ26	3mka	MI:0114  x-ray crystallography
A5U4D6	D5XUM4	3mka	MI:0114  x-ray crystallography
A5U4D6	D5Z4X9	3mka	MI:0114  x-ray crystallography
A5U4D6	D6FCP8	3mka	MI:0114  x-ray crystallography
A5U4D6	D7ESJ2	3mka	MI:0114  x-ray crystallography
A5U4D6	E2TAM5	3mka	MI:0114  x-ray crystallography
A5U5N6	D5YI18	3n59	MI:0114  x-ray crystallography
A5U5N6	D5YUF7	3n59	MI:0114  x-ray crystallography
A5U5N6	D6FJA3	3n59	MI:0114  x-ray crystallography
A5U5N6	P0A4Z6	3n59	MI:0114  x-ray crystallography
A5U832	E2TRM7	3oei	MI:0114  x-ray crystallography
A5WKA4	O53799	3hug	MI:0114  x-ray crystallography
A5WKA4	Q7D9D4	3hug	MI:0114  x-ray crystallography
A5WP83	D5Z4X8	3h6i	MI:0114  x-ray crystallography
A5WP84	D5Z4X8	3h6i	MI:0114  x-ray crystallography
A5WQE5	C1AF05	3n59	MI:0114  x-ray crystallography
A5WQE5	D5YI18	3n59	MI:0114  x-ray crystallography
A5WQE5	D6FJA3	3n59	MI:0114  x-ray crystallography
A5WQE5	P0A4Z6	3n59	MI:0114  x-ray crystallography
A5YI31	B5LP24	2zc4	MI:0114  x-ray crystallography
A5YI31	B9V3Y5	2zc3	MI:0114  x-ray crystallography
A6AC58	Q9KTK0	3bp1	MI:0114  x-ray crystallography
A6BP30	Q8ZCP4	3f4n	MI:0114  x-ray crystallography
A6ZKK5	C8Z3U3	3oe7,3ofn	MI:0114  x-ray crystallography
A6ZKK5	E7NEK9	3oe7,3ofn	MI:0114  x-ray crystallography
A6ZKK5	E7QB62	3oe7,3ofn	MI:0114  x-ray crystallography
A6ZKK5	P07251	3oe7,3ofn	MI:0114  x-ray crystallography
A6ZKK5	P21306	3oe7,3ofn	MI:0114  x-ray crystallography
A6ZKK5	Q12165	3oe7,3ofn	MI:0114  x-ray crystallography
A6ZQ91	P57744	3cjh	MI:0114  x-ray crystallography
A6ZXI2	P53622	3mkq	MI:0114  x-ray crystallography
A7A196	Q04491	2pm7	MI:0114  x-ray crystallography
A7A232	B5VI19	1vsy,3l5q	MI:0114  x-ray crystallography
A7A232	P21242	1vsy,3l5q	MI:0114  x-ray crystallography
A7A232	P21243	1vsy,3l5q	MI:0114  x-ray crystallography
A7A232	P22141	1vsy,3l5q	MI:0114  x-ray crystallography
A7A232	P23638	1vsy,3l5q	MI:0114  x-ray crystallography
A7A232	P23639	1vsy,3l5q	MI:0114  x-ray crystallography
A7A232	P23724	1vsy,3l5q	MI:0114  x-ray crystallography
A7A232	P25043	1vsy,3l5q	MI:0114  x-ray crystallography
A7A232	P25451	1vsy,3l5q	MI:0114  x-ray crystallography
A7A232	P30656	1vsy,3l5q	MI:0114  x-ray crystallography
A7A232	P30657	1vsy,3l5q	MI:0114  x-ray crystallography
A7A232	P32379	1vsy,3l5q	MI:0114  x-ray crystallography
A7A232	P38624	1vsy,3l5q	MI:0114  x-ray crystallography
A7A232	P40302	1vsy,3l5q	MI:0114  x-ray crystallography
A7A232	P40303	1vsy,3l5q	MI:0114  x-ray crystallography
A7A232	P43583	1vsy,3l5q	MI:0114  x-ray crystallography
A7J3A1	O37061	4f5x	MI:0114  x-ray crystallography
A7MB62	Q3MHR7	1k8k,1tyq,1u2v,2p9i,2p9k,2p9l,2p9n,2p9p,2p9s,2p9u,3dxk,3dxm,3rse	MI:0114  x-ray crystallography
A7MB62	Q3MHR7	2P9N,1K8K,2P9U,1U2V,2P9P,1TYQ,2P9S,2P9L,2P9I,2P9K	MI:0114  x-ray crystallography
A7MB62	Q3T035	1k8k,1tyq,1u2v,2p9i,2p9k,2p9l,2p9n,2p9p,2p9s,2p9u,3dxk,3dxm,3rse	MI:0114  x-ray crystallography
A7MB62	Q3T035	2P9N,1K8K,2P9U,1U2V,2P9P,1TYQ,2P9S,2P9L,2P9I,2P9K	MI:0114  x-ray crystallography
A7YSZ1	D2AMC8	3p2l	MI:0114  x-ray crystallography
A7ZKI9	B1LI60	3gcm	MI:0114  x-ray crystallography
A7ZS99	Q0TCQ9	2r1a	MI:0114  x-ray crystallography
A7ZS99	Q31W77	2r1a	MI:0114  x-ray crystallography
A7ZSB8	B2PBH3	3lcl	MI:0114  x-ray crystallography
A8A0Z2	P64488	3bb6	MI:0114  x-ray crystallography
A8CDU0	P01738	2icw	MI:0114  x-ray crystallography
A8CDU0	P04213	2icw	MI:0114  x-ray crystallography
A8K5J8	Q53HU9	2qy0	MI:0114  x-ray crystallography
A8KWB0	B7CL66	3ez4	MI:0114  x-ray crystallography
A8KWB0	C4AU14	3ez4	MI:0114  x-ray crystallography
A8KWB0	Q3JP15	3ez4	MI:0114  x-ray crystallography
A8MUD0	O15533	3f8u	MI:0114  x-ray crystallography
A8NN31	Q15843	3dqv	MI:0114  x-ray crystallography
A8T655	P01130	3bps	MI:0114  x-ray crystallography
A9HTI6	Q15788	2npa,3bej,3et1,3h0a,3oki	MI:0114  x-ray crystallography
A9JJF6	P01738	2icw	MI:0114  x-ray crystallography
A9N7T8	E7V2G6	3euh	MI:0114  x-ray crystallography
A9N7T8	P22524	3euh	MI:0114  x-ray crystallography
A9Z7A5	Q8ZAX1	3lwz	MI:0114  x-ray crystallography
B0CM87	P05230	3bad,3cu1	MI:0114  x-ray crystallography
B0I344	B1Q037	1t5r	MI:0114  x-ray crystallography
B0I344	B5WZR5	1t5r	MI:0114  x-ray crystallography
B0I344	O80066	1t5r	MI:0114  x-ray crystallography
B0QCI5	C3NZR3	3n7z	MI:0114  x-ray crystallography
B0QYP2	O95931	3gs2	MI:0114  x-ray crystallography
B0RZ82	Q9UKL0	2x0l	MI:0114  x-ray crystallography
B0UXW4	P00751	3hs0	MI:0114  x-ray crystallography
B1HAW5	Q63R49	3ez4	MI:0114  x-ray crystallography
B1Q037	O50603	1t5r	MI:0114  x-ray crystallography
B1XC34	P0AEX9	3puy	MI:0114  x-ray crystallography
B1XE84	P69910	3fz6,3fz7,3fz8	MI:0114  x-ray crystallography
B1XHJ8	P0A6L4	3lci	MI:0114  x-ray crystallography
B2LYR2	P20963	3ik5	MI:0114  x-ray crystallography
B2LYR2	P31818	3ik5	MI:0114  x-ray crystallography
B2NAN0	B3XI15	3hyc	MI:0114  x-ray crystallography
B2P6Y0	B3BZ18	3fzb	MI:0114  x-ray crystallography
B2P6Y0	E0MCN1	3fzb	MI:0114  x-ray crystallography
B2P6Y0	P03732	3fzb	MI:0114  x-ray crystallography
B2P6Y0	Q8X5E5	3fzb	MI:0114  x-ray crystallography
B2P8S8	E7TNA1	2d40	MI:0114  x-ray crystallography
B2PF52	P0A772	3n3a	MI:0114  x-ray crystallography
B2PI34	Q8X655	2d40	MI:0114  x-ray crystallography
B2PSJ2	B3WNF0	3kcu	MI:0114  x-ray crystallography
B2RWL8	P01849	3c6l	MI:0114  x-ray crystallography
B3BIJ3	B3BZ18	3fzb	MI:0114  x-ray crystallography
B3BIJ3	B3IGB9	3fzb	MI:0114  x-ray crystallography
B3BIJ3	E0MCN1	3fzb	MI:0114  x-ray crystallography
B3BZ18	B3IGB9	3fzb	MI:0114  x-ray crystallography
B3BZ18	P03732	3fzb	MI:0114  x-ray crystallography
B3HBV6	P0A6F3	3ezw	MI:0114  x-ray crystallography
B3HC25	P69924	2xaw,2xay,2xaz	MI:0114  x-ray crystallography
B3HYN4	P0A6L4	2wnq	MI:0114  x-ray crystallography
B3ICA7	P0A6F1	1jdb	MI:0114  x-ray crystallography
B3IGB9	E0MCN1	3fzb	MI:0114  x-ray crystallography
B3IGB9	P03732	3fzb	MI:0114  x-ray crystallography
B3IGB9	Q8X5E5	3fzb	MI:0114  x-ray crystallography
B3IGM7	P55089	3n96	MI:0114  x-ray crystallography
B3LDA6	Q9NG97	2auc	MI:0114  x-ray crystallography
B3LJS5	Q6WNK7	3fwc	MI:0114  x-ray crystallography
B3LNM9	E7QB62	3oe7	MI:0114  x-ray crystallography
B3LNM9	E9PAG7	3oe7	MI:0114  x-ray crystallography
B3LNP9	P28241	3blx	MI:0114  x-ray crystallography
B3NZ75	Q24117	3fm7	MI:0114  x-ray crystallography
B3X1J2	Q31U64	3ezw	MI:0114  x-ray crystallography
B3X2L0	P62552	3g7z	MI:0114  x-ray crystallography
B3X519	P0A6L4	3lcf	MI:0114  x-ray crystallography
B3ZED8	C2UKQ0	3o7m	MI:0114  x-ray crystallography
B4AC35	B5P9N9	3lay	MI:0114  x-ray crystallography
B4AC35	Q9L9I0	3lay	MI:0114  x-ray crystallography
B4AQU0	C6YVW8	3p2l	MI:0114  x-ray crystallography
B4AQU0	Q5NH47	3p2l	MI:0114  x-ray crystallography
B4DDT3	P25116	3lu9	MI:0114  x-ray crystallography
B4DDT3	Q71U07	3gis	MI:0114  x-ray crystallography
B4DEZ9	P01130	2w2m,2w2n,2w2o,2w2p,2w2q,3gcw,3gcx,3m0c	MI:0114  x-ray crystallography
B4DG64	B7ZA36	2zvk	MI:0114  x-ray crystallography
B4DG64	P61258	2zvk	MI:0114  x-ray crystallography
B4DJX1	P10515	3crk	MI:0114  x-ray crystallography
B4E216	P00746	2xwb	MI:0114  x-ray crystallography
B4WII1	P0A387	1izl	MI:0114  x-ray crystallography
B4WII1	P51765	1izl	MI:0114  x-ray crystallography
B4WII1	Q8DIN9	1izl	MI:0114  x-ray crystallography
B4WII1	Q8DIP0	1izl	MI:0114  x-ray crystallography
B4WII1	Q8DIQ1	1izl	MI:0114  x-ray crystallography
B4WII1	Q9F1K9	1izl	MI:0114  x-ray crystallography
B5G4J1	P62158	3g43	MI:0114  x-ray crystallography
B5G4J1	Q13936	3g43	MI:0114  x-ray crystallography
B5G4J1	Q4SPI3	3g43	MI:0114  x-ray crystallography
B5G4J1	Q810C8	3g43	MI:0114  x-ray crystallography
B5MSH1	B5NVW9	3fwp	MI:0114  x-ray crystallography
B5NVW9	B5P8J3	3ddo	MI:0114  x-ray crystallography
B5P9N9	C0Q2T4	3lay	MI:0114  x-ray crystallography
B5VI19	P21242	1vsy,3l5q	MI:0114  x-ray crystallography
B5VI19	P21243	1vsy,3l5q	MI:0114  x-ray crystallography
B5VI19	P22141	1vsy,3l5q	MI:0114  x-ray crystallography
B5VI19	P23638	1vsy,3l5q	MI:0114  x-ray crystallography
B5VI19	P23639	1vsy,3l5q	MI:0114  x-ray crystallography
B5VI19	P23724	1vsy,3l5q	MI:0114  x-ray crystallography
B5VI19	P25043	1vsy,3l5q	MI:0114  x-ray crystallography
B5VI19	P25451	1vsy,3l5q	MI:0114  x-ray crystallography
B5VI19	P30656	1vsy,3l5q	MI:0114  x-ray crystallography
B5VI19	P30657	1vsy,3l5q	MI:0114  x-ray crystallography
B5VI19	P32379	1vsy,3l5q	MI:0114  x-ray crystallography
B5VI19	P38624	1vsy,3l5q	MI:0114  x-ray crystallography
B5VI19	P40302	1vsy,3l5q	MI:0114  x-ray crystallography
B5VI19	P40303	1vsy,3l5q	MI:0114  x-ray crystallography
B5VI19	P43583	1vsy,3l5q	MI:0114  x-ray crystallography
B5VJI0	P16861	3o8o	MI:0114  x-ray crystallography
B5WZR5	O50603	1t5r	MI:0114  x-ray crystallography
B5YXG7	E0MCN1	3fzb	MI:0114  x-ray crystallography
B5YXG7	P03732	3fzb	MI:0114  x-ray crystallography
B5Z8Y5	E1Q1H0	3lgh	MI:0114  x-ray crystallography
B6VCY1	Q807P2	2fyz	MI:0114  x-ray crystallography
B6VCY1	Q9JAD8	2fyz	MI:0114  x-ray crystallography
B6ZXS7	P0A6L4	3lcl	MI:0114  x-ray crystallography
B7CL66	C0XZF8	3ez4	MI:0114  x-ray crystallography
B7CL66	Q3JP15	3ez4	MI:0114  x-ray crystallography
B7LHT3	P0A6L4	3lch	MI:0114  x-ray crystallography
B7LSM5	P0AEI6	3dku	MI:0114  x-ray crystallography
B7M0T7	D7ZES3	3lch	MI:0114  x-ray crystallography
B7MHL3	P0AC25	3kcu	MI:0114  x-ray crystallography
B7UJB5	E8YBP8	2i2w	MI:0114  x-ray crystallography
B7Z7I2	Q15596	3e7c,3k22	MI:0114  x-ray crystallography
B7Z7I2	Q86YY2	3h52	MI:0114  x-ray crystallography
B7ZA36	P12004	2zvk	MI:0114  x-ray crystallography
B7ZLY4	P36888	3qs7	MI:0114  x-ray crystallography
B8H5L0	Q9A2T0	3t0y	MI:0114  x-ray crystallography
B8XCV5	Q75TB2	1fc3	MI:0114  x-ray crystallography
B8YB53	B8YB56	2waq,2wb1,2y0s,4ayb,4b1o,4b1p	MI:0114  x-ray crystallography
B8YB53	B8YB58	2waq,2wb1,2y0s,4ayb,4b1o,4b1p	MI:0114  x-ray crystallography
B8YB53	B8YB63	2waq,2wb1,2y0s,4ayb,4b1o,4b1p	MI:0114  x-ray crystallography
B8YB53	B8YB64	2waq,2wb1,2y0s,4ayb,4b1o,4b1p	MI:0114  x-ray crystallography
B8YB54	B8YB56	2waq,2wb1,2y0s,4ayb,4b1o,4b1p	MI:0114  x-ray crystallography
B8YB54	B8YB58	2waq,2wb1,2y0s,4ayb,4b1o,4b1p	MI:0114  x-ray crystallography
B8YB54	B8YB59	2waq,2wb1,2y0s,4ayb,4b1o,4b1p	MI:0114  x-ray crystallography
B8YB54	B8YB62	2waq,2wb1,2y0s,4ayb,4b1o,4b1p	MI:0114  x-ray crystallography
B8YB54	B8YB63	2waq,2wb1,2y0s,4ayb,4b1o,4b1p	MI:0114  x-ray crystallography
B8YB54	B8YB64	2waq,2wb1,2y0s,4ayb,4b1o,4b1p	MI:0114  x-ray crystallography
B8YB55	B8YB59	2waq,2wb1,2y0s,4ayb,4b1o,4b1p	MI:0114  x-ray crystallography
B8YB55	B8YB60	2waq,2wb1,2y0s,4ayb,4b1o,4b1p	MI:0114  x-ray crystallography
B8YB55	B8YB65	2waq,2wb1,2y0s,4ayb,4b1o,4b1p	MI:0114  x-ray crystallography
B8YB56	B8YB57	2y0s,4ayb,4b1o,4b1p	MI:0114  x-ray crystallography
B8YB56	B8YB58	2waq,2wb1,2y0s,4ayb,4b1o,4b1p	MI:0114  x-ray crystallography
B8YB56	B8YB59	2waq,2wb1,2y0s,4ayb,4b1o,4b1p	MI:0114  x-ray crystallography
B8YB56	B8YB60	2waq,2wb1,2y0s,4ayb,4b1o,4b1p	MI:0114  x-ray crystallography
B8YB56	B8YB61	2y0s,4ayb,4b1o,4b1p	MI:0114  x-ray crystallography
B8YB56	B8YB65	2waq,2wb1,2y0s,4ayb,4b1o,4b1p	MI:0114  x-ray crystallography
B8YB56	Q97ZJ9	2waq,2wb1	MI:0114  x-ray crystallography
B8YB56	Q980A3	2waq,2wb1	MI:0114  x-ray crystallography
B8YB57	B8YB59	2y0s,4ayb,4b1o,4b1p	MI:0114  x-ray crystallography
B8YB57	B8YB60	2y0s,4ayb,4b1o,4b1p	MI:0114  x-ray crystallography
B8YB57	B8YB62	2y0s,4ayb,4b1o,4b1p	MI:0114  x-ray crystallography
B8YB57	B8YB63	2y0s,4ayb,4b1o,4b1p	MI:0114  x-ray crystallography
B8YB57	B8YB64	2y0s,4ayb,4b1o,4b1p	MI:0114  x-ray crystallography
B8YB57	B8YB65	2y0s,4ayb,4b1o,4b1p	MI:0114  x-ray crystallography
B8YB58	B8YB59	2waq,2wb1,2y0s,4ayb,4b1o,4b1p	MI:0114  x-ray crystallography
B8YB58	B8YB60	2waq,2wb1,2y0s,4ayb,4b1o,4b1p	MI:0114  x-ray crystallography
B8YB58	B8YB61	2y0s,4ayb,4b1o,4b1p	MI:0114  x-ray crystallography
B8YB58	B8YB62	2waq,2wb1,2y0s,4ayb,4b1o,4b1p	MI:0114  x-ray crystallography
B8YB58	B8YB63	2waq,2wb1,2y0s,4ayb,4b1o,4b1p	MI:0114  x-ray crystallography
B8YB58	B8YB64	2waq,2wb1,2y0s,4ayb,4b1o,4b1p	MI:0114  x-ray crystallography
B8YB58	B8YB65	2waq,2wb1,2y0s,4ayb,4b1o,4b1p	MI:0114  x-ray crystallography
B8YB58	Q97ZJ9	2waq,2wb1	MI:0114  x-ray crystallography
B8YB59	B8YB60	2waq,2wb1,2y0s,4ayb,4b1o,4b1p	MI:0114  x-ray crystallography
B8YB59	B8YB61	2y0s,4ayb,4b1o,4b1p	MI:0114  x-ray crystallography
B8YB59	B8YB62	2waq,2wb1,2y0s,4ayb,4b1o,4b1p	MI:0114  x-ray crystallography
B8YB59	B8YB63	2waq,2wb1,2y0s,4ayb,4b1o,4b1p	MI:0114  x-ray crystallography
B8YB59	B8YB64	2waq,2wb1,2y0s,4ayb,4b1o,4b1p	MI:0114  x-ray crystallography
B8YB59	B8YB65	2waq,2wb1,2y0s,4ayb,4b1o,4b1p	MI:0114  x-ray crystallography
B8YB59	Q97ZJ9	2waq,2wb1	MI:0114  x-ray crystallography
B8YB59	Q980A3	2waq,2wb1	MI:0114  x-ray crystallography
B8YB60	B8YB62	2waq,2wb1,2y0s,4ayb,4b1o,4b1p	MI:0114  x-ray crystallography
B8YB60	B8YB63	2waq,2wb1,2y0s,4ayb,4b1o,4b1p	MI:0114  x-ray crystallography
B8YB60	B8YB64	2waq,2wb1,2y0s,4ayb,4b1o,4b1p	MI:0114  x-ray crystallography
B8YB60	Q980A3	2waq,2wb1	MI:0114  x-ray crystallography
B8YB61	B8YB62	2y0s,4ayb,4b1o,4b1p	MI:0114  x-ray crystallography
B8YB61	B8YB63	2y0s,4ayb,4b1o,4b1p	MI:0114  x-ray crystallography
B8YB61	B8YB64	2y0s,4ayb,4b1o,4b1p	MI:0114  x-ray crystallography
B8YB61	B8YB65	2y0s,4ayb,4b1o,4b1p	MI:0114  x-ray crystallography
B8YB62	B8YB63	2waq,2wb1,2y0s,4ayb,4b1o,4b1p	MI:0114  x-ray crystallography
B8YB62	B8YB64	2waq,2wb1,2y0s,4ayb,4b1o,4b1p	MI:0114  x-ray crystallography
B8YB62	B8YB65	2waq,2wb1,2y0s,4ayb,4b1o,4b1p	MI:0114  x-ray crystallography
B8YB62	Q97ZJ9	2waq,2wb1	MI:0114  x-ray crystallography
B8YB62	Q980A3	2waq,2wb1	MI:0114  x-ray crystallography
B8YB63	B8YB65	2waq,2wb1,2y0s,4ayb,4b1o,4b1p	MI:0114  x-ray crystallography
B8YB63	Q97ZJ9	2waq,2wb1	MI:0114  x-ray crystallography
B8YB63	Q980A3	2waq,2wb1	MI:0114  x-ray crystallography
B8YB64	B8YB65	2waq,2wb1,2y0s,4ayb,4b1o,4b1p	MI:0114  x-ray crystallography
B8YB64	Q97ZJ9	2waq,2wb1	MI:0114  x-ray crystallography
B8YB64	Q980A3	2waq,2wb1	MI:0114  x-ray crystallography
B8YB65	Q97ZJ9	2waq,2wb1	MI:0114  x-ray crystallography
B8YB65	Q980A3	2waq,2wb1	MI:0114  x-ray crystallography
B8YK79	P00698	3otp	MI:0114  x-ray crystallography
B9V825	P12497	3h4e	MI:0114  x-ray crystallography
B9VV85	Q91B37	2wff,2ws9,2xbo	MI:0114  x-ray crystallography
B9VV85	Q91B40	2wff	MI:0114  x-ray crystallography
B9VV85	Q91B42	2wff,2ws9,2xbo	MI:0114  x-ray crystallography
B9XYT0	O26057	2wp0	MI:0114  x-ray crystallography
B9Y1V3	Q7BK04	1nlz	MI:0114  x-ray crystallography
C0LUE4	P31345	2jdq	MI:0114  x-ray crystallography
C0LUE4	Q5R909	2jdq	MI:0114  x-ray crystallography
C0X5A2	C2JK18	3jva	MI:0114  x-ray crystallography
C0XZF8	C4AU14	3ez4	MI:0114  x-ray crystallography
C1AF05	D5YUF7	3n59	MI:0114  x-ray crystallography
C1AQ26	D5XUM4	3mka	MI:0114  x-ray crystallography
C1AQ26	D5YRR7	3mka	MI:0114  x-ray crystallography
C1AQ26	D6FCP8	3mka	MI:0114  x-ray crystallography
C1AQ26	D7ESJ2	3mka	MI:0114  x-ray crystallography
C1AQ26	E2TAM5	3mka	MI:0114  x-ray crystallography
C1NAQ6	Q7JJ26	3n96	MI:0114  x-ray crystallography
C2DWC8	E1J7M2	3lbc	MI:0114  x-ray crystallography
C2IAL6	C2IH66	3pns	MI:0114  x-ray crystallography
C2J9I2	Q9K4U1	3pns	MI:0114  x-ray crystallography
C3HQD3	Q81KC7	3o7m	MI:0114  x-ray crystallography
C3SGD7	D3GV49	3a5z	MI:0114  x-ray crystallography
C3SGD7	E9YWU2	3a5z	MI:0114  x-ray crystallography
C4AU14	Q3JP15	3ez4	MI:0114  x-ray crystallography
C4AU14	Q63R49	3ez4	MI:0114  x-ray crystallography
C4PK56	Q07717	3qq4	MI:0114  x-ray crystallography
C5Q5A7	Q2YVR9	2qej	MI:0114  x-ray crystallography
C5W716	C6E9S5	3rko	MI:0114  x-ray crystallography
C6DPV1	D5Z4X8	3hfa	MI:0114  x-ray crystallography
C6DPV1	O33245	3hfa	MI:0114  x-ray crystallography
C6DUQ2	O53799	3hug	MI:0114  x-ray crystallography
C6E9R4	C6E9S4	3rko	MI:0114  x-ray crystallography
C6E9R4	C6E9S5	3rko	MI:0114  x-ray crystallography
C6E9S2	C6E9S5	3rko	MI:0114  x-ray crystallography
C6TEX2	P05310	2wsc,2wse,2wsf	MI:0114  x-ray crystallography
C6TEX2	P05311	2wsc,2wse,2wsf	MI:0114  x-ray crystallography
C6TEX2	P10793	2wsc,2wse,2wsf	MI:0114  x-ray crystallography
C6TEX2	P12353	2wsc,2wse,2wsf	MI:0114  x-ray crystallography
