PF00005	PF01497
PF00327	PF01248
PF00327	PF01294
PF00327	PF01655
PF00327	PF01776
PF00327	PF01777
PF00327	PF01779
PF00327	PF01781
PF00327	PF01907
PF00327	PF01929
PF00327	PF03939
PF00329	PF01512
PF00329	PF10531
PF00329	PF10589
PF00329	PF11497
PF00333	PF01015
PF00333	PF01090
PF00333	PF01200
PF00333	PF01248
PF00333	PF01251
PF00333	PF01283
PF00333	PF01599
PF00333	PF01667
PF00333	PF03297
PF00333	PF03501
PF00333	PF08069
PF00338	PF00410
PF00338	PF00833
PF00338	PF01015
PF00338	PF01090
PF00338	PF01200
PF00338	PF01248
PF00338	PF01249
PF00338	PF01251
PF00338	PF01283
PF00338	PF01599
PF00338	PF01667
PF00338	PF03297
PF00338	PF03501
PF00338	PF08069
PF00338	PF09598
PF00345	PF02753
PF00346	PF01512
PF00346	PF10531
PF00346	PF10589
PF00347	PF00428
PF00347	PF00467
PF00347	PF00572
PF00347	PF00673
PF00347	PF00827
PF00347	PF00832
PF00347	PF00861
PF00347	PF01157
PF00347	PF01158
PF00347	PF01159
PF00347	PF01198
PF00347	PF01199
PF00347	PF01246
PF00347	PF01247
PF00347	PF01248
PF00347	PF01294
PF00347	PF01655
PF00347	PF01776
PF00347	PF01777
PF00347	PF01779
PF00347	PF01781
PF00347	PF01907
PF00347	PF01929
PF00347	PF03939
PF00347	PF08079
PF00355	PF02320
PF00355	PF02529
PF00355	PF08041
PF00382	PF00575
PF00382	PF01096
PF00382	PF01192
PF00382	PF01193
PF00382	PF01194
PF00382	PF02150
PF00382	PF03604
PF00382	PF03870
PF00382	PF03874
PF00382	PF03876
PF00384	PF01058
PF00384	PF09459
PF00400	PF01200
PF00400	PF01249
PF00400	PF03297
PF00410	PF00411
PF00410	PF00833
PF00410	PF01015
PF00410	PF01090
PF00410	PF01200
PF00410	PF01248
PF00410	PF01283
PF00410	PF01599
PF00410	PF03297
PF00410	PF03501
PF00410	PF07650
PF00410	PF09598
PF00411	PF00833
PF00411	PF01090
PF00411	PF01200
PF00411	PF01248
PF00411	PF01249
PF00411	PF01251
PF00411	PF01479
PF00411	PF01599
PF00411	PF01667
PF00411	PF03297
PF00411	PF03501
PF00411	PF07650
PF00411	PF08069
PF00411	PF09598
PF00428	PF00572
PF00428	PF00573
PF00428	PF00673
PF00428	PF00827
PF00428	PF00828
PF00428	PF00832
PF00428	PF00861
PF00428	PF01157
PF00428	PF01158
PF00428	PF01159
PF00428	PF01198
PF00428	PF01199
PF00428	PF01246
PF00428	PF01247
PF00428	PF01294
PF00428	PF01655
PF00428	PF01776
PF00428	PF01777
PF00428	PF01779
PF00428	PF01781
PF00428	PF01907
PF00428	PF01929
PF00428	PF03939
PF00428	PF08079
PF00431	PF01821
PF00431	PF01835
PF00431	PF07678
PF00431	PF07703
PF00431	PF10569
PF00466	PF00827
PF00466	PF00832
PF00466	PF01157
PF00466	PF01158
PF00466	PF01159
PF00466	PF01198
PF00466	PF01199
PF00466	PF01246
PF00466	PF01247
PF00466	PF01294
PF00466	PF01655
PF00466	PF01776
PF00466	PF01777
PF00466	PF01779
PF00466	PF01781
PF00466	PF01907
PF00466	PF01929
PF00466	PF03939
PF00466	PF08079
PF00467	PF00572
PF00467	PF00827
PF00467	PF00828
PF00467	PF00832
PF00467	PF00861
PF00467	PF01157
PF00467	PF01158
PF00467	PF01159
PF00467	PF01198
PF00467	PF01199
PF00467	PF01246
PF00467	PF01247
PF00467	PF01248
PF00467	PF01294
PF00467	PF01655
PF00467	PF01776
PF00467	PF01777
PF00467	PF01779
PF00467	PF01781
PF00467	PF01907
PF00467	PF01929
PF00467	PF03939
PF00469	PF07686
PF00504	PF00796
PF00504	PF01701
PF00509	PF05790
PF00510	PF02284
PF00510	PF02285
PF00510	PF02936
PF00510	PF02937
PF00510	PF05392
PF00510	PF06481
PF00516	PF08391
PF00539	PF00962
PF00562	PF04029
PF00562	PF12136
PF00572	PF00673
PF00572	PF00827
PF00572	PF00832
PF00572	PF00861
PF00572	PF01157
PF00572	PF01158
PF00572	PF01159
PF00572	PF01198
PF00572	PF01199
PF00572	PF01246
PF00572	PF01247
PF00572	PF01294
PF00572	PF01655
PF00572	PF01776
PF00572	PF01777
PF00572	PF01779
PF00572	PF01781
PF00572	PF01907
PF00572	PF01929
PF00572	PF03939
PF00572	PF08079
PF00573	PF00827
PF00573	PF00828
PF00573	PF00832
PF00573	PF00861
PF00573	PF01157
PF00573	PF01158
PF00573	PF01159
PF00573	PF01198
PF00573	PF01199
PF00573	PF01246
PF00573	PF01247
PF00573	PF01294
PF00573	PF01655
PF00573	PF01776
PF00573	PF01777
PF00573	PF01779
PF00573	PF01781
PF00573	PF01907
PF00573	PF01929
PF00573	PF03939
PF00573	PF08079
PF00575	PF01194
PF00575	PF03604
PF00575	PF04029
PF00575	PF07500
PF00575	PF08271
PF00575	PF12136
PF00594	PF01826
PF00594	PF03974
PF00623	PF03604
PF00626	PF03372
PF00631	PF00959
PF00639	PF09312
PF00673	PF00827
PF00673	PF00832
PF00673	PF00861
PF00673	PF01157
PF00673	PF01158
PF00673	PF01159
PF00673	PF01198
PF00673	PF01199
PF00673	PF01246
PF00673	PF01247
PF00673	PF01248
PF00673	PF01294
PF00673	PF01655
PF00673	PF01776
PF00673	PF01777
PF00673	PF01779
PF00673	PF01781
PF00673	PF01907
PF00673	PF01929
PF00673	PF03939
PF00673	PF08079
PF00675	PF02320
PF00675	PF07686
PF00705	PF10424
PF00737	PF01405
PF00737	PF01716
PF00737	PF01737
PF00737	PF01788
PF00737	PF02419
PF00737	PF02532
PF00737	PF02533
PF00737	PF05151
PF00737	PF05969
PF00737	PF06514
PF00796	PF01241
PF00796	PF01701
PF00796	PF02427
PF00796	PF02507
PF00796	PF02531
PF00796	PF05479
PF00796	PF08078
PF00827	PF00828
PF00827	PF00832
PF00827	PF00861
PF00827	PF01157
PF00827	PF01158
PF00827	PF01159
PF00827	PF01198
PF00827	PF01199
PF00827	PF01246
PF00827	PF01247
PF00827	PF01248
PF00827	PF01294
PF00827	PF01655
PF00827	PF01776
PF00827	PF01777
PF00827	PF01779
PF00827	PF01781
PF00827	PF01907
PF00827	PF01929
PF00827	PF03939
PF00827	PF08079
PF00828	PF00832
PF00828	PF00861
PF00828	PF01157
PF00828	PF01158
PF00828	PF01159
PF00828	PF01198
PF00828	PF01199
PF00828	PF01246
PF00828	PF01247
PF00828	PF01248
PF00828	PF01294
PF00828	PF01655
PF00828	PF01776
PF00828	PF01777
PF00828	PF01779
PF00828	PF01781
PF00828	PF01907
PF00828	PF01929
PF00828	PF03939
PF00828	PF08079
PF00832	PF00861
PF00832	PF01157
PF00832	PF01158
PF00832	PF01159
PF00832	PF01198
PF00832	PF01199
PF00832	PF01246
PF00832	PF01247
PF00832	PF01248
PF00832	PF01294
PF00832	PF01655
PF00832	PF01776
PF00832	PF01777
PF00832	PF01779
PF00832	PF01781
PF00832	PF01907
PF00832	PF01929
PF00832	PF03939
PF00832	PF08079
PF00833	PF01090
PF00833	PF01200
PF00833	PF01249
PF00833	PF01251
PF00833	PF01283
PF00833	PF01479
PF00833	PF01599
PF00833	PF01667
PF00833	PF03297
PF00833	PF03501
PF00833	PF08069
PF00833	PF09598
PF00861	PF01157
PF00861	PF01159
PF00861	PF01198
PF00861	PF01199
PF00861	PF01246
PF00861	PF01247
PF00861	PF01294
PF00861	PF01655
PF00861	PF01776
PF00861	PF01777
PF00861	PF01779
PF00861	PF01781
PF00861	PF01907
PF00861	PF01929
PF00861	PF03939
PF00861	PF08079
PF00888	PF03210
PF00944	PF01589
PF00957	PF00974
PF00980	PF02123
PF00980	PF12289
PF01015	PF01200
PF01015	PF01248
PF01015	PF01249
PF01015	PF01251
PF01015	PF01599
PF01015	PF01667
PF01015	PF03297
PF01015	PF03501
PF01015	PF03719
PF01015	PF07650
PF01015	PF08069
PF01015	PF09598
PF01058	PF01257
PF01058	PF01512
PF01058	PF01568
PF01058	PF04879
PF01058	PF10531
PF01058	PF10588
PF01058	PF10589
PF01058	PF11497
PF01090	PF01200
PF01090	PF01248
PF01090	PF01249
PF01090	PF01251
PF01090	PF01283
PF01090	PF01479
PF01090	PF01599
PF01090	PF01667
PF01090	PF03297
PF01090	PF03501
PF01090	PF03719
PF01090	PF07650
PF01096	PF08271
PF01157	PF01158
PF01157	PF01159
PF01157	PF01198
PF01157	PF01199
PF01157	PF01246
PF01157	PF01247
PF01157	PF01248
PF01157	PF01294
PF01157	PF01655
PF01157	PF01776
PF01157	PF01777
PF01157	PF01779
PF01157	PF01781
PF01157	PF01907
PF01157	PF01929
PF01157	PF03939
PF01157	PF08079
PF01158	PF01159
PF01158	PF01198
PF01158	PF01199
PF01158	PF01246
PF01158	PF01247
PF01158	PF01248
PF01158	PF01294
PF01158	PF01655
PF01158	PF01776
PF01158	PF01777
PF01158	PF01779
PF01158	PF01781
PF01158	PF01907
PF01158	PF01929
PF01158	PF03939
PF01158	PF08079
PF01159	PF01198
PF01159	PF01199
PF01159	PF01246
PF01159	PF01247
PF01159	PF01248
PF01159	PF01294
PF01159	PF01655
PF01159	PF01776
PF01159	PF01777
PF01159	PF01779
PF01159	PF01781
PF01159	PF01907
PF01159	PF01929
PF01159	PF03939
PF01159	PF08079
PF01191	PF01194
PF01191	PF03604
PF01191	PF03870
PF01191	PF03874
PF01191	PF04029
PF01191	PF07500
PF01192	PF01194
PF01192	PF03604
PF01192	PF03870
PF01192	PF04029
PF01192	PF08271
PF01192	PF12136
PF01193	PF04029
PF01193	PF07500
PF01193	PF08271
PF01193	PF12136
PF01194	PF03870
PF01194	PF03871
PF01194	PF04029
PF01194	PF07500
PF01194	PF08271
PF01194	PF12136
PF01198	PF01199
PF01198	PF01246
PF01198	PF01247
PF01198	PF01248
PF01198	PF01294
PF01198	PF01655
PF01198	PF01776
PF01198	PF01777
PF01198	PF01779
PF01198	PF01781
PF01198	PF01907
PF01198	PF01929
PF01198	PF03939
PF01198	PF08079
PF01199	PF01246
PF01199	PF01247
PF01199	PF01248
PF01199	PF01294
PF01199	PF01655
PF01199	PF01776
PF01199	PF01777
PF01199	PF01779
PF01199	PF01781
PF01199	PF01907
PF01199	PF01929
PF01199	PF03939
PF01199	PF08079
PF01200	PF01248
PF01200	PF01249
PF01200	PF01251
PF01200	PF01479
PF01200	PF01599
PF01200	PF01667
PF01200	PF03297
PF01200	PF03501
PF01200	PF03719
PF01200	PF07650
PF01200	PF08069
PF01200	PF09598
PF01215	PF02285
PF01215	PF02935
PF01215	PF02937
PF01215	PF05392
PF01241	PF01701
PF01241	PF02427
PF01241	PF02507
PF01241	PF02531
PF01241	PF02605
PF01241	PF03244
PF01241	PF05479
PF01241	PF07465
PF01241	PF08078
PF01246	PF01247
PF01246	PF01248
PF01246	PF01294
PF01246	PF01655
PF01246	PF01776
PF01246	PF01777
PF01246	PF01779
PF01246	PF01781
PF01246	PF01907
PF01246	PF01929
PF01246	PF03939
PF01246	PF08079
PF01247	PF01248
PF01247	PF01294
PF01247	PF01655
PF01247	PF01776
PF01247	PF01777
PF01247	PF01779
PF01247	PF01781
PF01247	PF01907
PF01247	PF01929
PF01247	PF03939
PF01247	PF08079
PF01248	PF01249
PF01248	PF01251
PF01248	PF01283
PF01248	PF01294
PF01248	PF01479
PF01248	PF01655
PF01248	PF01667
PF01248	PF01776
PF01248	PF01777
PF01248	PF01779
PF01248	PF01781
PF01248	PF01907
PF01248	PF01929
PF01248	PF03297
PF01248	PF03719
PF01248	PF03939
PF01248	PF07650
PF01248	PF08069
PF01248	PF08079
PF01249	PF01251
PF01249	PF01283
PF01249	PF01479
PF01249	PF01599
PF01249	PF03297
PF01249	PF03501
PF01249	PF07650
PF01249	PF08069
PF01249	PF09598
PF01251	PF01283
PF01251	PF01479
PF01251	PF01599
PF01251	PF03297
PF01251	PF03501
PF01251	PF03719
PF01251	PF07650
PF01251	PF09598
PF01266	PF04268
PF01283	PF01479
PF01283	PF01599
PF01283	PF01667
PF01283	PF03297
PF01283	PF03501
PF01283	PF03719
PF01283	PF07650
PF01283	PF08069
PF01283	PF09598
PF01294	PF01655
PF01294	PF01776
PF01294	PF01777
PF01294	PF01779
PF01294	PF01781
PF01294	PF01907
PF01294	PF01929
PF01294	PF03939
PF01294	PF08079
PF01310	PF01686
PF01405	PF01716
PF01405	PF01737
PF01405	PF01788
PF01405	PF02532
PF01405	PF02533
PF01405	PF05969
PF01405	PF06514
PF01405	PF06596
PF01423	PF04938
PF01466	PF09425
PF01479	PF01599
PF01479	PF01667
PF01479	PF03297
PF01479	PF03501
PF01479	PF08069
PF01479	PF09598
PF01568	PF09459
PF01599	PF01667
PF01599	PF03297
PF01599	PF03501
PF01599	PF03719
PF01599	PF07650
PF01599	PF08069
PF01655	PF01776
PF01655	PF01777
PF01655	PF01779
PF01655	PF01781
PF01655	PF01907
PF01655	PF01929
PF01655	PF03939
PF01655	PF08079
PF01667	PF03297
PF01667	PF03501
PF01667	PF03719
PF01667	PF07650
PF01667	PF09598
PF01701	PF02427
PF01701	PF02531
PF01701	PF02605
PF01701	PF03244
PF01701	PF05479
PF01701	PF07465
PF01701	PF08078
PF01716	PF01737
PF01716	PF01788
PF01716	PF02419
PF01716	PF02532
PF01716	PF02533
PF01716	PF05151
PF01716	PF05969
PF01716	PF06596
PF01737	PF01788
PF01737	PF02419
PF01737	PF02532
PF01737	PF05151
PF01737	PF06514
PF01737	PF06596
PF01776	PF01777
PF01776	PF01779
PF01776	PF01781
PF01776	PF01907
PF01776	PF01929
PF01776	PF03939
PF01776	PF08079
PF01777	PF01779
PF01777	PF01781
PF01777	PF01907
PF01777	PF01929
PF01777	PF03939
PF01777	PF08079
PF01779	PF01781
PF01779	PF01907
PF01779	PF01929
PF01779	PF03939
PF01779	PF08079
PF01781	PF01907
PF01781	PF01929
PF01781	PF03939
PF01781	PF08079
PF01788	PF02419
PF01788	PF02532
PF01788	PF05151
PF01788	PF06514
PF01788	PF06596
PF01907	PF01929
PF01907	PF03939
PF01907	PF08079
PF01929	PF03939
PF01929	PF08079
PF02046	PF02238
PF02046	PF02285
PF02046	PF02790
PF02046	PF02935
PF02046	PF05392
PF02150	PF08271
PF02167	PF07686
PF02205	PF03372
PF02205	PF09735
PF02238	PF02284
PF02238	PF02285
PF02238	PF02297
PF02238	PF02936
PF02238	PF02937
PF02238	PF05392
PF02271	PF02320
PF02271	PF02921
PF02271	PF05365
PF02271	PF07686
PF02271	PF09165
PF02284	PF02285
PF02284	PF02935
PF02284	PF05392
PF02285	PF02297
PF02285	PF02790
PF02285	PF02937
PF02285	PF05392
PF02297	PF02937
PF02297	PF05392
PF02304	PF02306
PF02304	PF02925
PF02305	PF02925
PF02305	PF04726
PF02306	PF02925
PF02306	PF04726
PF02320	PF02921
PF02320	PF05193
PF02320	PF05365
PF02320	PF07686
PF02320	PF08997
PF02320	PF09165
PF02406	PF04663
PF02419	PF02532
PF02419	PF02533
PF02419	PF05969
PF02419	PF06514
PF02419	PF06596
PF02427	PF02605
PF02427	PF03244
PF02427	PF05479
PF02427	PF07465
PF02427	PF08078
PF02507	PF02605
PF02507	PF03244
PF02507	PF05479
PF02507	PF07465
PF02529	PF05115
PF02529	PF08802
PF02531	PF03244
PF02531	PF05479
PF02531	PF07465
PF02531	PF08078
PF02532	PF02533
PF02532	PF05151
PF02532	PF05969
PF02532	PF06514
PF02532	PF06596
PF02533	PF05151
PF02533	PF06514
PF02533	PF06596
PF02605	PF05479
PF02605	PF08078
PF02747	PF10424
PF02747	PF11798
PF02790	PF07835
PF02823	PF04568
PF02823	PF05511
PF02918	PF03440
PF02935	PF02937
PF02935	PF05392
PF02939	PF05365
PF02939	PF07686
PF02939	PF08997
PF02939	PF09165
PF02959	PF04881
PF03104	PF08804
PF03210	PF10557
PF03244	PF05479
PF03297	PF03501
PF03297	PF03719
PF03297	PF07650
PF03297	PF08069
PF03297	PF09598
PF03501	PF03719
PF03501	PF08069
PF03604	PF03870
PF03604	PF03871
PF03604	PF03874
PF03604	PF03876
PF03604	PF04029
PF03604	PF04983
PF03604	PF04997
PF03604	PF04998
PF03604	PF05000
PF03604	PF05001
PF03604	PF07500
PF03604	PF08271
PF03604	PF12136
PF03719	PF08069
PF03870	PF03871
PF03870	PF03874
PF03870	PF07500
PF03870	PF08271
PF03871	PF03874
PF03871	PF07500
PF03874	PF04029
PF03874	PF07500
PF03874	PF08271
PF03874	PF12136
PF03876	PF04029
PF03876	PF07500
PF03876	PF08271
PF03876	PF12136
PF03931	PF09425
PF03939	PF08079
PF03973	PF09396
PF03974	PF09396
PF04029	PF04560
PF04029	PF04566
PF04029	PF04567
PF04029	PF12136
PF04135	PF04925
PF04560	PF12136
PF04563	PF12136
PF04564	PF10520
PF04565	PF12136
PF04566	PF12136
PF04567	PF12136
PF04568	PF04627
PF04627	PF05405
PF04627	PF05511
PF04627	PF05873
PF05001	PF06179
PF05001	PF08612
PF05001	PF09637
PF05001	PF10280
PF05031	PF09236
PF05151	PF05969
PF05151	PF06514
PF05151	PF06596
PF05193	PF07686
PF05365	PF07686
PF05365	PF09165
PF05790	PF07686
PF05922	PF07645
PF05969	PF06514
PF05969	PF06596
PF06179	PF08612
PF06514	PF06596
PF07124	PF07236
PF07465	PF08078
PF07648	PF09289
PF07648	PF09396
PF07650	PF08069
PF07686	PF09191
PF07804	PF07805
PF08041	PF08802
PF08069	PF09598
PF08612	PF10280
PF08702	PF09396
PF08948	PF09300
PF08948	PF09301
PF08997	PF09165
PF09065	PF09396
PF09754	PF12465
PF10450	PF12465
PF11919	PF12465
